Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10843.540635006093,1992,10745.027355769593,2186.5804577861413
2026,100,11650.99793873082,1984.032,11448.830309574123,2312.7228206577206
2027,100,12090.677948878782,1976.0958719999999,12142.944924568106,2437.7928918591065
2028,100,12767.891496674332,1968.191488512,12613.03189766558,2584.947709176896
2029,1000,53011.0645257087,22719.02765387516,13255.800339752843,9783.601699143293
2030,1000,92522.57723867697,39652.53310229013,14280.029540650434,17400.713364646304
2031,1000,137402.72591768016,58886.882536148645,15836.426106162618,25122.772794399887
2032,1000,186009.81192750993,79718.49082607568,16511.031806921572,34375.78317447123
2033,1000,237629.4472638072,101841.1916844888,17034.42308647541,43067.48178855272
2034,1000,288393.32758045255,123597.14039162252,17620.9290471121,52182.426330783936
2035,1000,346438.1371746472,148473.4873605631,19117.350058101725,63769.01541887272
2036,1000,405837.48015385395,173930.348637366,19530.23745691082,74922.80154897066
2037,1000,470601.59359951835,201686.39725693644,20598.93366891382,83739.44837057438
2038,76755.24255105208,493939.6738005451,211688.43162880503,21736.413228370526,89368.04197978346
2039,154076.18452423046,510804.76837028965,218916.32930155273,23896.36011100762,92863.64566967837
2040,232873.31437630154,532693.4852011034,218040.66398434652,24482.912980332516,100690.40603733165
2041,312259.8473451849,559951.2503076947,217168.50132840913,25132.911857823405,105746.02076365933
2042,393103.1844803525,600249.1592723096,216299.8273230955,26530.8891840556,109415.39184141759
2043,474304.25772164,636732.3970555796,215434.6280138031,28696.96221138627,118006.03595485589
2044,557244.8544488843,681098.2874806727,214572.88950174788,30456.776832657328,124969.93264228129
2045,641483.4236929073,731026.3539891725,213714.5979437409,31977.984475423622,130594.68111226498
2046,726650.1327929796,771334.8232689005,212859.73955196593,33229.43106635254,137393.47853798248
2047,813481.3287643961,813673.7209500222,212008.30059375806,35455.2461363935,146656.66474730257
2048,900511.7467320389,862892.7699426948,211160.26739138304,37445.296296510496,155235.14275099745
2049,987949.9213181343,916262.7740280696,210315.62632181752,39267.92391328416,162395.13583932884
2050,1076320.8029452472,932944.9147985884,209474.36381653024,0,210314.42753261974
2051,1144493.1267482825,989485.1603323239,208636.46636126412,0,217541.44881859378
2052,1212554.9007005282,1062328.9236318714,207801.92049581907,0,227173.10370417702
2053,1280333.323807323,1096081.9722651038,206970.7128138358,0,245352.83113033278
2054,1348493.66586592,1177192.6038578998,206142.82996258046,0,261867.28070298594
2055,1416457.102698096,1291507.2490715887,205318.25864273013,0,274254.70761028264
2056,1485074.1830949585,1359512.1214853786,204496.98560815922,0,291791.1013834049
2057,1552903.014621807,1456718.3983063283,203678.99766572658,0,316390.98642081086
2058,1620286.9987575838,1527646.0993323287,202864.28167506368,0,336520.1718568421
2059,1686982.907584534,1600843.6460693777,202052.82454836342,0,349345.3094699449
2060,1754114.2078352664,1721360.197957408,201244.61325016996,0,367842.0035289952
2061,1820708.8131996996,1887313.7347522916,200439.63479716927,0,392120.8507230989
2062,1920727.7277107767,2048808.2727239623,199637.8762579806,0,425991.01959568606
2063,2021500.7269612078,2181998.753945934,198839.32475294868,0,443497.6662372514
2064,2123385.8536438313,2315595.3618681775,198043.9674539369,0,465523.60244710627
2065,2225502.057061045,2436963.14040516,197251.79158412115,0,486600.11072855926
2066,2329367.227128875,2686701.039688363,196462.78441778466,0,515855.5419067611
2067,2433731.0564196664,2724192.5162248844,195676.93328011353,0,555781.9524029003
2068,2539406.6525013624,2990640.6295836,194894.22554699308,0,584281.4725943526
2069,2646181.5098088584,3163187.3339380836,194114.6486448051,0,614661.7469857216
2070,2630228.04137521,3330255.7551843096,193338.19005022588,0,645784.7468845034
