Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10513.023376734658,1992,10608.527517039734,2090.152425169556
2026,69827.62047530223,9089.381712901028,3895.4493055290122,11366.563879465475,2280.427770552008
2027,131659.7644725011,9570.489568372175,4101.638386445218,12194.304329176868,2403.0629230490254
2028,1000,140661.83685365517,60283.64436585222,12882.938103287,9487.986085986646
2029,1000,188244.49919297468,80676.21393984629,13714.148485417703,17010.302902359872
2030,1000,236127.42997912015,101197.4699910515,14744.700476255472,25375.612857994336
2031,1000,291658.07677864964,124996.31861942128,15841.585602824634,34747.59674409006
2032,1000,346585.4177671195,148536.60761447978,16594.55528055773,42802.59594081396
2033,1000,404062.03068846953,173169.4417236298,17782.026250379586,52978.8970307799
2034,1000,478746.51532409433,205177.07799604043,19365.942426557107,65663.90594916997
2035,1000,544272.4545826056,233259.62339254527,19964.52287971306,74489.79487316032
2036,1000,615125.504581511,263625.216249219,20475.726547208204,88578.94766895182
2037,1000,704552.5928413227,262570.71538422216,22221.38274558659,101613.4553703225
2038,1000,805290.8254637403,261520.43252268527,23944.120028059166,111857.06150854648
2039,80756.79441604935,827676.270725963,260474.35079259452,25368.97893871208,117302.39020834705
2040,160927.12948834826,887125.5973850252,259432.45338942413,26831.5377877254,124249.40764570735
2041,241529.92946019338,946783.2239928595,258394.72357586643,28681.772056304984,134674.15174554294
2042,322871.6552237869,995297.8226354498,257361.14468156296,29789.829485419934,138017.600899437
2043,405603.35834544565,1059895.0402729984,256331.7001028367,32071.16587770815,150129.02024793279
2044,489101.08275077865,1088769.6543752193,255306.37330242537,34169.28332969734,159047.26134096956
2045,573960.1985136471,1172348.7882602345,254285.14780921568,36834.24478718072,165177.62993197262
2046,659257.3436266278,1285681.0532125977,253268.00721797883,38949.49189144496,174332.8481544516
2047,745242.7467446341,1371176.662122215,252254.9351891069,40948.95344405375,185460.7580684278
2048,832701.52631377,1412479.59086811,251245.91544835048,44196.03020635635,195514.92105487554
2049,921334.4062896692,1477765.2187046397,250240.93178655708,46714.99070726098,208916.14528936855
2050,1011119.8068497453,1562880.1098111263,249239.96805941084,0,271449.4358704001
2051,1080539.0129126264,1655251.2834514128,248243.0081871732,0,284396.88239980274
2052,1150534.3605803773,1802216.6912139019,247250.0361544245,0,299897.6605496486
2053,1221329.5418556374,1907791.6322487479,246261.03600980682,0,319348.42076246557
2054,1292399.1926861866,2038369.2602897414,245275.9918657676,0,340770.8905472191
2055,1363252.4092909722,2159500.517037683,244294.88789830453,0,360007.5699007831
2056,1433488.3025324575,2286730.1904117875,243317.7083467113,0,387358.13836108113
2057,1502900.411399353,2506666.80963563,242344.43751332446,0,409133.9743202022
2058,1572107.1033177457,2749052.1158313407,241375.05976327116,0,440716.3454037241
2059,1599498.4439717128,2822374.9917820366,240409.5595242181,0,448910.89994886867
2060,1668096.145241346,2911327.617317451,239447.9212861212,0,486069.87085186393
2061,1736854.7596815075,3156191.7905318397,238490.12960097674,0,521535.63721737184
2062,1795375.9300452557,3269159.5277503435,237536.16908257283,0,553262.4491439081
2063,1897746.5367046979,3437047.3348713596,236586.02440624253,0,578753.5750653667
2064,2000343.6898608818,3596363.93095013,235639.68030861756,0,595756.1819964111
2065,2103334.7098654043,3806594.3820692706,234697.1215873831,0,629591.8815036308
2066,2207644.0585714364,4115294.410658318,233758.33310103355,0,665270.9921587963
2067,2139902.706830974,4410439.514953595,232823.29976862943,0,707803.0519229192
2068,2088508.350233343,4702908.019105468,231892.0065695549,0,753857.0334984716
2069,2088508.350233343,4980616.174678721,230964.4385432767,0,801238.9096094759
2070,2088508.350233343,5076640.704950778,230040.58078910358,0,847861.4535550716
