Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10519.548982742048,1992,10466.626034276676,2176.1437183869543
2026,100,11160.986077584621,1984.032,10947.399145166044,2297.0747531741918
2027,100,9978.339189180922,4276.431081077538,11428.854675200395,2423.2141425394857
2028,1000,52570.201588354495,22530.086395009068,12234.922444488562,9524.588259442746
2029,1000,93127.0277561776,39911.58332407612,13385.183902676705,17378.112396161872
2030,1000,136375.18078103822,58446.506049016374,14247.114272990031,25165.308391468556
2031,1000,188848.41871246538,80935.0365910566,15302.24029150664,33992.337597008605
2032,1000,244612.14056367317,104833.7745272885,16238.71768243719,41932.69659296215
2033,1000,296000.29369912803,126857.26872819774,17720.50773921035,50925.363485393405
2034,1000,353157.2696340603,151353.11555745444,18484.77171348825,60834.41401448024
2035,1000,412886.83728014096,176951.501691489,19803.380094005992,72471.20819944315
2036,75726.88703822973,422791.4354972551,181196.32949882364,21189.226862419317,77027.30496353422
2037,151588.84977066517,437866.20358078124,187656.9443917634,22746.053534354414,81389.06181233426
2038,228247.0349603316,451614.8585604026,186906.31661419634,24400.52137135935,86485.72942370061
2039,306299.4053529186,478090.87170690886,186158.69134773957,25992.219139575827,93061.18732001985
2040,385915.00358886976,511880.47076587135,185414.05658234862,27102.647125837895,98864.38316805776
2041,466517.88263048173,540250.8884711884,184672.40035601924,28379.703016722262,104078.72108758416
2042,548130.6148586667,576773.2331097847,183933.71075459517,29264.654289421578,111350.57658969662
2043,630977.0072324144,614229.7309734056,183197.9759115768,31022.92131841905,118477.8494449317
2044,714155.5863279592,661759.3411082941,182465.18400793048,32644.124482990417,125224.86699931737
2045,798246.6487282363,698276.295264575,181735.32327189876,33775.53669017946,132911.49255028943
2046,883758.9373510578,736149.7224809071,181008.38197881117,35523.97638422987,141377.82506849078
2047,969506.5559841738,787412.6624536207,180284.34845089592,37385.750459982344,151278.97643275562
2048,1056154.1963747311,843301.2308634152,179563.21105709233,39801.836655696956,159643.52840733522
2049,1143732.768119263,889595.990477196,178844.95821286394,42146.37504295485,167110.92448493032
2050,1232940.0074484812,952501.7360540769,178129.57838001248,0,220975.8925980343
2051,1302342.2201960539,1001783.7203730617,177417.0600664924,0,235145.6037544437
2052,1372350.6541605392,1059532.0738694512,176707.39182622643,0,248057.5533288776
2053,1442271.9616299393,1129229.6539465196,176000.56225892153,0,266303.09347158775
2054,1512101.4757734267,1166296.084645776,175296.56000988584,0,286261.3144113021
2055,1581261.9004948442,1229401.2488889385,174595.3737698463,0,302139.60308555403
2056,1650482.8786579168,1283588.0500887604,173896.99227476693,0,325742.4220466209
2057,1719875.112773128,1331027.189946616,173201.40430566788,0,343512.3652564897
2058,1789292.193928906,1363378.3699870051,172508.5986884452,0,357417.7226412686
2059,1858038.4995710314,1477270.7123125591,171818.56429369142,0,375082.9540926456
2060,1927318.9840262854,1560236.2238107128,171131.29003651667,0,399980.5537122539
2061,1995950.2795876723,1660220.7731836543,170446.7648763706,0,428972.18091168295
2062,2096818.1370648285,1789081.8558249413,169764.97781686514,0,455756.6437127918
2063,2198608.7770920214,1944931.347030364,169085.9179055977,0,479614.9816254836
2064,2300975.9309813515,2063875.097355452,168409.5742339753,0,499814.412500917
