Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10473.726911634552,1992,10588.079796331831,2160.0930771279936
2026,100,11140.087042157209,1984.032,11297.768719333706,2346.7188056202235
2027,100,11547.04817810984,1976.0958719999999,11755.327038423928,2496.272435690969
2028,69397.87306341095,10270.121227125828,4401.48052591107,12289.33891696705,2666.345391774292
2029,1000,97108.98594313065,41618.13683277028,12910.21324145947,9794.356059544622
2030,1000,142262.89923493826,60969.81395783069,13379.67261148571,17114.687154627693
2031,1000,192025.19836986827,82296.5135870864,14273.002423021506,25511.608300039697
2032,1000,247010.75999755177,105861.75428466505,14997.853207814505,34171.64939376421
2033,1000,299609.60183628893,128404.11507269526,15706.866357525263,43246.99089841634
2034,1000,356308.4704702353,152703.6302015294,16649.47985014631,52763.31273494156
2035,1000,417826.5215200673,179068.50922288597,18181.300149686234,63315.42379502212
2036,1000,489726.2481115476,209882.67776209186,19265.19463875948,73861.59324274155
2037,1000,556748.847654833,238606.64899492843,20348.261858332226,84479.22736870678
2038,1000,638957.1699579376,273838.78712483036,21752.20948753846,95099.56023860263
2039,1000,752882.7547254643,272743.43197633105,23145.35229184796,107407.54940843483
2040,78612.00013097508,847463.5848872572,271652.45824842574,24092.056983282553,112780.65500587728
2041,156896.58412311174,897476.7907101959,270565.84841543203,25249.18468682625,120177.61104841117
2042,236071.73610623868,929531.914540388,269483.5850217703,25803.857149617175,126349.6240466902
2043,316595.9997106793,981512.4184525366,268405.65068168327,27312.934769152485,138125.72537746496
2044,397953.0631663468,1078047.2180073238,267332.02807895653,28800.30448074799,143425.6104192875
2045,479959.47379235126,1147152.074425842,266262.6999666407,30122.868468517954,152692.7184333793
2046,562526.961591697,1193285.3188594205,265197.6491667741,32701.802858013474,160415.8035223208
2047,645411.903038132,1256710.197198026,264136.858570107,34561.482822426406,170119.49091426775
2048,728828.3068871764,1356083.120841266,263080.3111358266,36284.195208300356,180757.99724297895
2049,813324.9654425522,1426578.2812539162,262027.98989128327,37900.24768176017,191495.95515320465
2050,898758.7726785432,1518619.578438926,260979.87793171813,0,244520.0787985633
2051,963211.8421571329,1672140.2197271872,259935.95841999125,0,256092.19786988007
2052,1027188.4807937172,1750515.877583545,258896.21458631128,0,269264.89007696375
2053,1091921.1505906596,1925317.5264258941,257860.62972796604,0,294422.8859792476
2054,1157366.0371983242,2050247.6599634339,256829.18720905416,0,310425.54403224145
2055,1223482.0151382312,2132520.9180898536,255801.87046021794,0,336870.2692417234
2056,1289959.1775404771,2272007.7568733976,254778.66297837708,0,366694.749445531
2057,1356992.648544981,2392175.306877368,253759.54832646355,0,385990.80073926825
2058,1424637.9561966655,2513111.9828753425,252744.5101331577,0,407860.6028082665
2059,1492743.9018299822,2643911.1267642295,251733.53209262507,0,427206.46910907485
2060,1560073.7679609004,2818458.4880595473,250726.59796425456,0,451301.9734057976
2061,1627095.292214264,2959674.6395334047,249723.69157239754,0,467682.3941719549
2062,1726227.6715230972,3145247.7546632085,248724.79680610794,0,503511.29964587
2063,1826249.9319894353,3469266.9151427527,247729.89761888352,0,539119.9032231555
2064,1872842.8788399696,3648407.1858350653,246738.978028408,0,567209.1397580235
2065,1975198.2640486518,3962966.245980738,245752.02211629436,0,596806.9346976101
2066,2025995.697074096,4350197.872849712,244769.0140278292,0,639969.8324183058
2067,2064403.3638684745,4538514.941341492,243789.93797171788,0,684802.2681959526
2068,2168708.2286874056,4780179.872181723,242814.778219831,0,715808.5298386021
2069,2153242.5169577003,5182704.136610683,241843.5191069517,0,768794.5495510369
2070,2084056.9833093637,5581394.428868879,240876.14503052388,0,815330.7101903341
