Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10519.548982742048,1992,10466.626034276676,2176.1437183869543
2026,100,11160.986077584621,1984.032,10947.399145166044,2297.0747531741918
2027,1000,52576.34329584603,22532.718555362582,11707.099467455613,9472.74875343297
2028,1000,92634.01211830782,39700.2909078462,11991.672719422542,17047.05272217899
2029,1000,138462.51358961136,59341.077252690586,12825.747765690323,25136.754826597808
2030,1000,183406.17942824052,78602.6483263888,13633.698382115721,34139.53921925528
2031,1000,233384.43908240183,100021.9024638865,13931.272901669225,44211.61730848004
2032,1000,278526.66839896474,119368.5721709849,14658.358261442432,54538.91509316292
2033,1000,329500.7461309098,141214.60548467565,15488.97512349304,62912.32145178382
2034,1000,380258.2488247483,162967.82092489215,15969.547622155222,74400.16233994665
2035,1000,449360.838605335,192583.21654514357,16956.699775933605,87908.78259888102
2036,69351.18876298612,465382.94752016466,199449.83465149914,18202.55186155119,92886.71522617296
2037,137543.1545620798,476286.04835977394,204122.59215418884,19071.413681397917,98119.73042990715
2038,205861.07767286315,503082.3768554012,203306.10178557207,20521.401772160934,104169.78719286766
2039,274282.04772151215,524574.8376435952,202492.87737842978,21345.245993097087,112019.09807564448
2040,342502.0871379127,550663.4712530035,201682.90586891607,22225.34032832851,117376.6337133434
2041,411649.97867037146,589137.6680090702,200876.1742454404,23668.66675987738,125068.13973897343
2042,481024.8826911333,640981.9753539269,200072.66954845865,25018.716635654095,135413.6959265273
2043,550550.0612971585,662935.9287555506,199272.37887026483,25212.761244204703,146055.82455566723
2044,619828.7660477913,715288.789273786,198475.28935478377,26000.423639453435,156452.2125238964
2045,689230.264456609,770339.6735958068,197681.38819736463,28000.220078080678,168309.38378104332
2046,759158.4016213111,834410.5593830431,196890.66264457518,28782.255662570195,177549.07438947432
2047,829825.1176263485,874994.2535294374,196103.09999399688,29487.34342701305,183578.5354988958
2048,900253.5044435121,935940.5014623856,195318.68759402088,31013.00447451803,194786.45586091434
2049,970776.4513977482,996739.8009305479,194537.4128436448,32675.319916896526,207161.2761271974
2050,1041703.3615486597,1071766.077286851,193759.2631922702,0,252719.4701363737
2051,1091178.3342047415,1106946.2931895484,192984.22613950114,0,271766.9177783122
2052,1139742.1669527323,1155952.7230601907,192212.28923494313,0,293125.4374103364
2053,1187698.9604685234,1192710.6849993155,191443.44007800336,0,310137.94128468586
2054,1235245.158736266,1236466.8618883225,190677.66631769136,0,328350.2461315985
2055,1281830.2477512618,1327374.612232316,189914.95565242058,0,350438.96632388455
2056,1327387.1859405197,1412908.3123093988,189155.2958298109,0,374324.1328840796
2057,1371905.9846898608,1543427.553581064,188398.67464649165,0,400512.4359733504
2058,1415310.8404924225,1570953.7092025639,187645.07994790567,0,426457.0560177206
2059,1458125.542969962,1739185.2477459935,186894.49962811405,0,448366.32702410675
2060,1499585.0292327295,1865611.095351413,186146.9216296016,0,476665.40470023255
2061,1539793.7532639795,1940035.5888030457,185402.33394308318,0,499581.7771848792
2062,1612379.1967664983,2097316.9369033948,184660.72460731084,0,541518.8898535455
2063,1685229.9954722885,2178142.432969079,183922.0817088816,0,571193.821246979
2064,1757231.601682701,2310263.488885815,183186.39338204608,0,599153.6686072635
