Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,9101.52719084008,3900.654510360034,10400.713538677675,2147.9001365345403
2026,1000,52620.62647450648,22551.697060502782,11298.191029695083,9287.484543636336
2027,1000,92843.03319132388,39789.871367710235,11781.827103197646,16601.118715841214
2028,1000,140702.82966228903,60301.212712409586,12672.309385469667,24759.783558944633
2029,1000,194241.15078783833,83246.20748050214,13652.797291457948,32529.24285349384
2030,1000,244266.33152246146,104685.5706524835,14452.553076069396,42046.31518146962
2031,1000,301580.6806598682,129248.86313994351,15693.052995791839,52077.20344378941
2032,1000,359379.1918182539,154019.65363639453,16535.711943423437,63618.58169302946
2033,1000,424085.77580984146,181751.04677564636,17466.29074379371,75744.82249265155
2034,1000,492866.9174694268,211228.67891546866,18235.292305287086,88431.51587033653
2035,1000,551800.1987285995,236485.79945511406,19636.498614565255,97616.07606036853
2036,78004.19437195419,590574.2679890059,235539.8562572936,20424.954191819394,103439.47409387545
2037,155879.01448323135,638994.457315224,234597.69683226442,22243.538956146636,112498.16342876264
2038,234570.4283418612,673355.2881589886,233659.30604493537,23248.622309471448,121043.39159456457
2039,314693.5475899943,697972.6723008484,232724.6688207556,24393.030010131057,125736.74404897599
2040,395050.88333773153,733281.618607658,231793.7701454726,25637.211868260223,133974.56503927876
2041,476649.0027801362,761552.2033196741,230866.59506489072,28505.327680927607,141999.81809001986
2042,559036.4520532679,846615.813318682,229943.12868463114,28612.985459095522,147845.78546417155
2043,641871.0646545341,898076.6315295356,229023.35616989262,29964.081806475082,155621.5356592083
2044,725038.2664314039,966645.4788386447,228107.26274521305,31944.45089348783,166887.3972376338
2045,808985.9701815643,1008005.4948694729,227194.8336942322,32928.85253532504,176402.1313932405
2046,894397.6298973619,1084497.847358171,226286.05435945527,35069.86830212316,185165.93417513734
2047,980082.2468403918,1141318.6320552938,225380.91014201744,36258.87041057384,199632.08670782612
2048,1066394.310278604,1246651.7671866864,224479.38650144936,38680.9286748895,207003.03106980087
2049,1153877.3799461103,1304180.412835767,223581.46895544356,41453.08816271432,216240.72409740777
2050,1242384.4593263224,1463125.736840134,222687.14307962178,0,272589.02465701045
2051,1310180.5114203729,1567787.6884972125,221796.39450730328,0,285596.90631249844
2052,1378221.7942858571,1698341.9610765965,220909.20892927406,0,302448.2699478
2053,1446575.7548255683,1765723.2746599133,220025.57209355696,0,316053.6148463956
2054,1514917.464524549,1874267.1935290683,219145.4698051827,0,335218.8980672483
2055,1583433.0208868803,1979092.7277940856,218268.887925962,0,358697.89546083525
2056,1652627.2625455547,2075842.7304684476,217395.81237425815,0,385929.05515733
2057,1722029.327115596,2221223.4936480364,216526.22912476113,0,405828.60115354205
2058,1790792.7595547435,2412874.8966076695,215660.12420826207,0,427388.0817626049
2059,1859673.344470203,2520156.6060703523,214797.48371142903,0,460880.2762000537
2060,1928850.8823958263,2726959.23803889,213938.2937765833,0,496995.3257465526
2061,1997789.7450312932,2849211.264514121,213082.54060147697,0,522941.6363121418
2062,2098730.9953616974,3144649.020506945,212230.21043907106,0,545827.3283577897
2063,2152462.0456311926,3460479.0621111644,211381.28959731478,0,579626.5273042228
2064,2202655.3635504385,3776711.4170069564,210535.76443892551,0,621912.2916406033
