Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10375.56919925236,1992,10724.448013844678,2032.0022909973634
2026,100,8875.31460428463,3803.7062589791267,11248.774507701237,2151.4599864162956
2027,100,9274.856614255972,3974.9385489668452,12090.210599569096,2331.5857333077
2028,100,9412.516917060972,4033.9358215975594,12482.693874935032,2431.171896457065
2029,100,9923.808553719091,4253.060808736754,12981.220905344459,2644.9071229488723
2030,1000,52300.30671955161,22414.417165522118,14053.752632095113,9823.967442401057
2031,1000,91910.46697036253,39390.20013015537,15223.862538980002,17388.320368159846
2032,1000,134378.55140355267,57590.807744379716,16276.378500861847,25281.542759791042
2033,1000,181135.8872455492,77629.66596237823,17446.79622276386,34168.12441906938
2034,1000,227919.53197020813,97679.79941580349,19007.395031755055,42246.917403427244
2035,1000,280298.60158971976,120127.9721098799,20228.388868518825,51764.55223576292
2036,1000,335170.7012605905,143644.5862545388,21165.000099560362,62694.80982642226
2037,1000,404601.59303666203,143070.00790952065,23028.90003869659,71957.22166882227
2038,1000,491370.1637219824,142497.72787788257,25015.76506686068,86205.49814823722
2039,1000,594175.3421421902,141927.73696637104,26626.66675705931,100155.13009894583
2040,67090.88835200832,640573.4442711403,141360.02601850557,28295.68648472902,105058.95081586127
2041,133894.90167227382,690272.967415191,140794.58591443155,30727.047768211098,112487.47603111523
2042,200535.24708293556,715845.5455374814,140231.40757077382,32332.878595289545,119206.14396520151
2043,268538.2379365584,746701.9206407646,139670.48194049072,34123.03601975055,126731.39342773885
2044,336441.7262776761,804371.6443973434,139111.80001272875,35052.71049225492,134448.4983863875
2045,405249.6037950092,825328.0513778429,138555.35281267783,37466.47996285447,147048.84110777028
2046,474109.3089264494,860875.371904813,138001.13140142712,40431.00134624298,155842.4333114193
2047,543512.339493007,937561.7345359079,137449.1268758214,41677.181835359675,161033.34914338586
2048,613845.7946746432,966876.1415485623,136899.33036831813,44042.5360250065,174886.67140884753
2049,683778.8081000468,1040645.0669726771,136351.73304684486,47064.02581241768,189303.25032567006
2050,753919.9028119554,1086051.6297257964,135806.32611465748,0,247675.34431485753
2051,802737.646542296,1171521.1325429897,135263.10081019884,0,257995.7595337072
2052,851043.2770217828,1221135.1961562943,134722.04840695806,0,274568.9543186393
2053,898284.7954482159,1324155.074950708,134183.16021333024,0,286481.2191250633
2054,944764.9508532769,1443184.9127259227,133646.4275724769,0,309704.1949002772
2055,990488.226529543,1533485.8031600255,133111.841862187,0,327657.1073045033
2056,1035081.1218891701,1593448.8986685253,132579.39449473826,0,353246.93261262315
2057,1078672.817534851,1727446.3165485738,132049.0769167593,0,376301.9532501781
2058,1121482.0079436286,1848587.0971411937,131520.88060909227,0,401565.06990689517
2059,1163163.158416197,1996181.8507905724,130994.7970866559,0,422948.48119249573
2060,1202970.5018285268,2175559.962569325,130470.81789830928,0,444856.3188368592
2061,1241763.1145864695,2388634.609345814,129948.93462671604,0,464283.2120767055
2062,1312684.3176820735,2528656.6160382363,129429.13888820919,0,496188.69512596977
2063,1382908.7338720674,2666487.9858318074,128911.42233265635,0,522069.50574122276
2064,1452332.1481484077,2861478.319497356,128395.77664332572,0,547905.9702023943
2065,1521040.4966398913,3123547.267289406,127882.19353675241,0,577741.8185625023
2066,1589436.3872899504,3177980.566515193,127370.6647626054,0,609385.2729595782
2067,1656074.0068441983,3405584.870663012,126861.18210355498,0,625987.3388637467
