Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10706.334599913915,1992,10711.00022838924,2108.9367202566305
2026,1000,72978.05814390095,1984.032,11795.413757740553,9224.241304054984
2027,1000,132914.9041857655,1976.0958719999999,11955.846433903966,16519.327817638696
2028,1000,193587.9657523703,1968.191488512,12369.64472419852,24389.713456292182
2029,1000,188346.13505780287,80719.77216762981,13252.052645302903,32813.08585234356
2030,1000,234358.6141536897,100439.40606586702,14064.385857083567,41233.81755192708
2031,1000,282495.9785085028,121069.70507507265,14814.351165726019,50906.076996297816
2032,1000,335021.3720477092,143580.5880204468,15861.23946686241,60600.471702559815
2033,1000,390353.09261876246,167294.1825508982,16783.290678914538,70499.07475032104
2034,1000,441850.36566986487,189364.4424299421,17502.77333634193,80254.65343188298
2035,1000,508884.60338906705,218093.40145245733,18467.39356210613,91980.67853467724
2036,1000,578186.1798136367,247794.07706298717,19688.805596011607,108567.9263516881
2037,72343.7400204549,600611.6122749123,257404.9766892481,21301.389750288985,114448.43252649634
2038,144000.68408753685,626242.3428284682,268389.575497915,22630.731494001553,120245.11505495153
2039,217213.89537702544,651543.3804813704,279232.87734915875,24582.608120338726,122794.86591149996
2040,290191.77580318984,680474.8708168827,278115.9458397621,25634.52466259935,130225.38805032216
2041,364146.59923141514,730320.5475987416,277003.48205640307,27260.54469431268,138347.6643070852
2042,438182.52211658924,760842.0311259299,275895.46812817745,29257.230899062783,143224.46363595448
2043,512271.69245789427,773340.0894705354,274791.88625566475,31647.97929228265,148363.41481700746
2044,586488.9374354763,806216.3983975531,273692.7187106421,33601.539457629435,154380.03812774754
2045,661477.678249333,842739.34619475,272597.9478357995,34437.34167361387,159456.9108964141
2046,736920.6832976766,876555.3341193256,271507.55604445626,36851.975094777314,167772.66973506034
2047,813313.8181093282,931975.8856453948,270421.52582027845,38792.64826556696,180957.17300198736
2048,889341.6807366894,969761.6245785198,269339.83971699735,40502.17612800163,194423.7524832966
2049,966157.3820777583,1038107.6193653601,268262.48035812937,42570.19459847017,207444.32302165907
2050,1043396.3672915895,1110349.4426021872,267189.43043669686,0,263172.40615298477
2051,1100404.3953036421,1170330.2734700153,266120.67271495005,0,267896.8875389489
2052,1156344.8829865367,1240168.053399583,265056.19002409023,0,289402.6074156136
2053,1211883.683372658,1305931.3052054027,263995.9652639939,0,299337.35448576236
2054,1266285.8760726023,1437451.663349699,262939.9814029379,0,316424.99629933276
2055,1318898.4096218613,1499028.4305712075,261888.22147732615,0,335342.6347530809
2056,1370532.0472777374,1584626.4835403895,260840.66859141685,0,351875.4778985838
2057,1420675.3710119405,1717088.590968702,259797.30591705118,0,359850.4465199786
2058,1469661.5187494117,1780780.7062373976,258758.11669338297,0,376251.26463225076
2059,1517941.5034634643,1938372.8868831133,257723.08422660944,0,397177.4531663122
2060,1564627.7603692273,2036002.1983629398,256692.191889703,0,423564.7788629356
2061,1609123.5096833138,2173269.2735201875,255665.4231221442,0,457153.4581514566
2062,1684055.0294031498,2319641.841159931,254642.7614296556,0,481733.697648174
2063,1758820.0449679643,2447209.566946663,253624.19038393698,0,515872.4280041656
2064,1833560.9338513582,2543774.3246734976,252609.69362240122,0,548716.8604171786
