Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10519.548982742048,1992,10466.626034276676,2176.1437183869543
2026,100,11160.986077584621,1984.032,10947.399145166044,2297.0747531741918
2027,1000,52576.34329584603,22532.718555362582,11707.099467455613,9472.74875343297
2028,1000,92634.01211830782,39700.2909078462,11991.672719422542,17047.05272217899
2029,1000,137488.72336719942,58923.73858594261,12825.747765690323,25136.754826597808
2030,1000,181565.84492261452,77813.93353826336,13633.698382115721,34139.53921925528
2031,1000,235001.84109442672,100715.07475475431,14381.978360196363,42083.085453789994
2032,1000,284910.92222941504,122104.68095546358,15279.833911470021,51279.438618608794
2033,1000,339484.19326760067,145493.22568611457,16050.64730284938,59779.302370186044
2034,1000,406668.2044040334,174286.3733160143,17411.24723884117,70911.06953766264
2035,1000,469116.15271330444,201049.77973427335,18079.26356262851,85162.77999260684
2036,75161.0197142862,489720.71343192237,209880.30575653815,19972.79060264744,87417.49954496436
2037,150999.88843836216,509094.06655602576,218183.17138115392,21282.238388132686,93849.73353770142
2038,227483.39079981795,528457.2340981521,217310.4386956293,23202.944568957915,98262.24262986328
2039,305570.07121924724,569921.9203371104,216441.19694084677,24188.921103591027,105894.8072805812
2040,383838.31104307453,612908.8969094976,215575.43215308338,26050.022131342903,114691.45372641555
2041,463881.52900757804,645537.4670503635,214713.13042447105,27307.066867967696,119994.2191008018
2042,544839.9370157352,676411.5773101762,213854.27790277317,29381.713191527015,126090.67297438186
2043,626761.8462948042,706291.7031571352,212998.8607911621,31808.52706162821,132247.70273785602
2044,709810.5369181231,746578.2573506235,212146.86534799743,34501.76653003108,135158.14168824547
2045,793777.7396697289,789488.2766536403,211298.27788660544,37213.25176668222,148264.4610969698
2046,879374.1954168115,850968.8013744343,210453.08477505902,39555.08381006705,157822.06607082754
2047,965533.7737278971,916462.0479464584,209611.2724359588,42597.42330537217,169783.0555344488
2048,1052817.8603638269,958070.6174561759,208772.82734621497,45207.955680507956,181039.32780290212
2049,1141283.52687041,1025710.7255311286,207937.73603683012,46794.15114127807,185474.3038663934
2050,1230319.5045728725,1092144.0494139337,207105.9850926828,0,245188.46913515462
2051,1299817.0004101165,1184906.5574986532,206277.56115231206,0,263082.3471782899
2052,1369005.092184271,1280960.6199932247,205452.45090770282,0,281924.4621182398
2053,1437998.057321306,1362215.0519944583,204630.641104072,0,298898.9946110944
2054,1506895.9748759845,1395128.838319349,203812.11853965573,0,312211.6895447439
2055,1576438.211732276,1495712.2190913192,202996.87006549712,0,321332.3275568657
2056,1646319.697028812,1563019.2581833461,202184.88258523514,0,343274.7719282174
2057,1715999.8095765673,1639749.2432756014,201376.1430548942,0,362115.1229380485
2058,1785136.8825128134,1723614.7105955312,200570.63848267464,0,388690.96913158055
2059,1854060.938533786,1843929.2638915116,199768.35592874393,0,408761.9358526523
2060,1923386.1448231686,2046346.5595483235,198969.28250502894,0,440768.1677758747
2061,1992920.99412945,2172546.7568918173,198173.40537500882,0,472345.6925420011
2062,2094765.9555909524,2256660.6785187423,197380.71175350877,0,496665.91220695945
2063,2197271.347634436,2414207.228636711,196591.18890649473,0,521890.6435005293
2064,2300875.4135268074,2589702.159709231,195804.82415086875,0,553174.4113439545
2065,2405813.628641784,2723514.521939239,195021.6048542653,0,567249.701397705
2066,2511360.1034522913,2817263.7804448893,194241.51843484823,0,598525.1664116549
2067,2618417.3226565877,2988928.3532553017,193464.55236110883,0,633962.2512153961
2068,2602474.9588714065,3194575.2473382135,192690.6941516644,0,670792.3907178132
2069,2602474.9588714065,3428198.5534670395,191919.93137505773,0,719124.6564568843
2070,2602474.9588714065,3531393.947043821,191152.2516495575,0,769092.3696835884
