Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10538.903193180948,1992,10561.464052015364,2134.5939726646916
2026,100,9342.565717520782,4003.956736080335,11048.987220168616,2324.2259388134485
2027,69479.39224413017,9693.861296671881,4154.511984287949,11737.362940620147,2388.406453782197
2028,131539.82377878684,10115.363408386087,4335.15574645118,12395.045401512538,2499.552220130019
2029,1000,140765.32581866076,60327.996779426045,13640.206974153265,9615.197581535927
2030,1000,187561.00250933078,80383.2867897132,14178.907551194587,16889.292358290266
2031,1000,235704.4309874856,101016.1847089224,14601.61870605423,24774.58191702725
2032,1000,292175.99304931314,125218.28273541993,15466.503979645937,33689.07300845159
2033,1000,346357.686362636,148439.00844112973,16497.06421154301,42297.579634080874
2034,1000,410336.5729232809,175858.53125283468,17374.945935750253,50881.7672230144
2035,1000,477455.27688434906,204623.69009329248,17911.514431604774,61437.96232791007
2036,1000,544035.8279421786,233158.2119752194,19339.67995216588,72857.81960855948
2037,1000,658991.8796404593,232225.57912731852,20316.87295902836,85154.9264745872
2038,1000,766579.6425467737,231296.67681080924,21992.705735817286,100939.3916566136
2039,1000,876705.7054823164,230371.490103566,23800.0229394109,114632.63184523622
2040,80044.45308543758,912463.3166020293,229450.00414315175,24888.026992197047,121944.08200100138
2041,160774.68931507092,963182.7196680501,228532.20412657913,26663.462272846704,127739.14289937717
2042,242284.83631202835,1028846.4021404816,227618.0753100728,28667.41014164166,131509.0175863012
2043,324454.4153794892,1101661.9094019472,226707.60300883252,30561.17993298207,141241.91939525417
2044,406871.54442280455,1152707.2703416743,225800.77259679718,32473.26180386591,155002.78585282716
2045,490441.3298508543,1215613.9690605085,224897.56950641,34651.12902388656,167227.01777230605
2046,574923.7128817183,1305794.3549233596,223997.97922838436,36444.79269259196,178600.04546420666
2047,660702.6741296228,1391413.7451554865,223101.98731147082,37523.144741773205,187066.3196212482
2048,746621.5178382959,1504954.8261512222,222209.57936222493,40346.70702221091,193835.5377288967
2049,833300.6951626721,1594076.2169708982,221320.74104477602,41873.744085219856,203313.74034792517
2050,921256.623050845,1759220.2649077326,220435.4580805969,0,262146.66105613887
2051,988465.8813512973,1813338.390793465,219553.71624827452,0,283852.67802030576
2052,1055668.0100379228,1951006.1546365488,218675.50138328143,0,301837.03604127164
2053,1122646.8602911131,2083104.2819789534,217800.7993777483,0,335516.99520124285
2054,1188993.5130903637,2180076.6159789013,216929.5961802373,0,360085.9107540231
2055,1254628.2175335144,2306755.2339432533,216061.87779551637,0,365191.9083198386
2056,1320320.4639405583,2505536.759527818,215197.6302843343,0,383023.28776790516
2057,1385787.2429628514,2705424.0432983898,214336.83976319697,0,400750.5643900042
2058,1450715.6160287086,2788085.7087552273,213479.49240414417,0,412059.0700218554
2059,1515621.6737757311,2866444.7338906946,212625.5744345276,0,428138.21735346544
2060,1580866.9595633163,2934497.1674791602,211775.0721367895,0,447570.75026431395
2061,1646104.2597865837,3149172.7505670455,210927.97184824233,0,477267.1616767078
2062,1744258.7746041457,3345671.9937901837,210084.25996084936,0,499655.1094173391
2063,1843787.7448345372,3588555.687126657,209243.92292100596,0,528259.7981021428
2064,1943799.6476086644,3836503.271520973,208406.94722932193,0,565888.6897534849
2065,2044243.5945839568,3892465.3968944163,207573.31944040465,0,594895.5157476597
2066,2146085.777892909,4105451.913453268,206743.02616264304,0,631873.6997313797
2067,2248540.1950222626,4308726.9711120855,205916.05405799247,0,667969.65725099
2068,2233462.80038907,4611029.32366102,205092.3898417605,0,704628.3788401032
2069,2233462.80038907,4870991.164396781,204272.02028239347,0,749212.1652516028
2070,2233462.80038907,5314907.70218286,203454.9322012639,0,807102.8838812961
