Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10606.23188696837,1992,10668.999433842982,2099.295834566959
2026,68502.47023148784,11458.972700152637,1984.032,11475.577657485896,2198.7742427728194
2027,129613.0260792118,12064.680085316175,1976.0958719999999,12228.144245770873,2281.200572954568
2028,192106.91062576658,10325.566660531807,4425.242854513632,13039.402246945954,2408.9784249526947
2029,1000,184275.46659724915,78975.19997024964,13421.576048870325,9637.932695225347
2030,1000,230420.0174626019,98751.43605540083,14128.004511932018,17384.959211569032
2031,1000,284704.03125448676,122016.01339478005,14844.98607787609,24891.037631075636
2032,1000,338454.33947598364,145051.85977542156,15897.18704264602,33890.865101127536
2033,1000,393829.7163666789,168784.1641571481,17217.692389208565,42890.0008404923
2034,1000,454565.46155197424,194813.7692365604,18359.552504524912,52005.15208440035
2035,1000,517077.4332273703,221604.61424030157,19432.128739029853,61600.03901480078
2036,1000,580930.5026780445,248970.21543344762,20857.382772940597,73544.71590033907
2037,1000,656665.7733877096,281428.1885947327,21973.357483388845,84441.88011937022
2038,1000,731081.2849902791,313320.5507101196,23569.76654584967,98762.75151108518
2039,1000,861708.5229622485,312067.2685072791,25461.741411136416,107701.56440182232
2040,72854.48272505666,904187.209210814,310818.99943325,26454.8055506223,117238.10203028555
2041,145040.23009970915,928831.5509698004,309575.723435517,26451.722783378853,126741.16094360242
2042,217243.96968932706,968198.0892117512,308337.42054177495,27214.990895677933,132826.25421877587
2043,290150.9659634397,1038071.4203333462,307104.07085960783,29840.348061439327,137874.86979074945
2044,364093.2041421577,1099093.0428092047,305875.6545761694,32033.953741538226,146947.94110512506
2045,438111.6956189054,1170307.5544878717,304652.1519578647,33709.56453904533,158833.70135830008
2046,512355.2419233668,1239207.293617911,303433.54335003323,34750.516987362185,165178.82249181176
2047,586402.0978458577,1319569.505355584,302219.8091766331,37638.1391728805,177009.9965082414
2048,661186.2472845889,1362127.2086834265,301010.92993992654,39098.45055400147,188462.1124257632
2049,736028.8321115408,1432903.285362501,299806.8862201668,40939.41224761338,193422.8818672463
2050,810788.9080843908,1518981.7237752734,298607.65867528616,0,240079.66084836161
2051,865408.8738606502,1621047.3199207815,297413.228040585,0,254843.2115422817
2052,918952.5770524371,1720660.4159275838,296223.57512842264,0,269918.0869215423
2053,972003.8232349356,1808753.4931855572,295038.680827909,0,293281.75318624784
2054,1024768.7264437042,1966317.2876508413,293858.5261045973,0,313400.66150926845
2055,1075877.6772947384,2034072.7747509147,292683.09200017893,0,332779.76662339247
2056,1125863.264991099,2111144.6324657663,291512.3596321782,0,353841.6886833009
2057,1174592.0776331602,2247666.7358745257,290346.3101936495,0,381016.2331143057
2058,1222196.0561121975,2353927.6875306116,289184.9249528749,0,411160.3075318201
2059,1268576.8383888453,2498331.9967933553,288028.1852530634,0,438091.1573606881
2060,1313697.0073017948,2647396.136257847,286876.07251205115,0,479264.5568028686
2061,1358099.4025604303,2785784.6577138985,285728.56822200294,0,502000.976912876
2062,1433025.5681049798,2995636.705653198,284585.6539491149,0,531173.6652026162
2063,1506495.7671596336,3188756.180777075,283447.3113333184,0,562555.7776052656
2064,1579976.1419551214,3378301.85137682,282313.5220879851,0,604216.4872999826
2065,1651787.9696737456,3542688.518210039,281184.26799963316,0,633031.5649869429
