Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10209.665304704175,1992,11030.747278375515,2132.354215695534
2026,100,10954.414212440779,1984.032,11895.696690144456,2270.302530178942
2027,100,9554.30990730239,4094.7042459867384,12758.927591884216,2434.6506287568345
2028,1000,52217.730520411074,22379.02736589046,13882.336909290669,9604.287688679073
2029,1000,91695.51682241251,39298.07863817679,14539.234720259625,17421.924023595773
2030,1000,132007.1713568452,56574.50201007652,15523.54856190888,25436.2134198829
2031,1000,176040.95303761592,75446.12273040683,15851.026833397087,33527.86448149758
2032,1000,225885.74780733325,96808.17763171425,16944.757280636557,43285.654015633765
2033,1000,278796.3358054146,119484.14391660626,18033.40614814541,51605.7704491624
2034,1000,333651.079191169,142993.31965335816,19352.81957732053,61351.28846918991
2035,1000,395141.1547597897,169346.20918276702,20783.91203869303,69360.29722125441
2036,74803.86612588086,404456.36711109534,173338.4430476123,21898.381250679216,73350.48593791804
2037,148858.04412940668,415511.4062424289,178076.31696104095,23371.16512083617,74251.3834643234
2038,224086.2608586305,437803.67573342484,177364.01169319678,25357.70886851627,79272.60916317892
2039,300147.9177634512,460509.99482963845,176654.55564642398,26852.373107613912,83325.24017051444
2040,377400.5978461776,487664.0745417457,175947.93742383827,28499.85999007517,89764.4904984014
2041,456033.4208361829,505939.4704998565,175244.14567414293,29923.00669773619,97432.90929643129
2042,534897.0786431094,520728.08371786616,174543.16909144635,31608.18800910628,102509.77930613689
2043,614857.0682344988,558740.2671034021,173844.99641508056,33529.264962515925,109278.8696397215
2044,695974.320734837,584921.621552709,173149.61642942025,35986.94902104041,117186.64212909853
2045,778647.8549727908,619100.284934327,172457.01796370256,38218.05228964274,124346.33447431392
2046,861729.4445211198,649715.1149151658,171767.18989184775,40977.59242989394,129512.52073040004
2047,945600.5414791829,678740.4891535043,171080.12113228036,43484.49422728649,139076.18451667248
2048,1029947.3434056955,733396.9913576874,170395.80064775122,46015.27099220063,147088.76793535575
2049,1115718.1411654511,785482.0015882466,169714.21744516023,48987.06051550665,157213.5255720849
2050,1201659.9709883824,861799.3052413962,169035.3605753796,0,218897.67703293756
2051,1266303.5466941702,907411.2393669052,168359.2191330781,0,236552.56062177327
2052,1330362.4965352728,978039.6049680868,167685.7822565458,0,244829.03034960228
2053,1393848.3878221698,1056806.7777239848,167015.03912751962,0,267427.32217212743
2054,1457119.9369433783,1102516.7855095717,166346.97897100955,0,287465.47308246675
2055,1520516.7163431994,1180105.8972776148,165681.59105512552,0,301302.9233443227
2056,1584556.332846842,1242500.8236765102,165018.86469090503,0,321838.2783839012
2057,1648241.4969803265,1307834.441932425,164358.7892321414,0,337877.70415666
2058,1711764.8042661438,1422909.5723048816,163701.35407521282,0,347186.36573733337
2059,1775398.268980132,1494572.519988718,163046.54865891195,0,371984.9627461176
2060,1838563.0474524875,1553766.7282028492,162394.36246427632,0,404369.3539680644
2061,1901705.9732805465,1640660.1937634402,161744.7850144192,0,419709.915911566
2062,1997534.1246059204,1705666.1176024093,161097.80587436154,0,435874.01285296737
2063,2094827.361889751,1825152.4203602006,160453.41465086408,0,477121.5258902344
2064,2193143.8744246964,1974614.004779741,159811.60099226062,0,506969.7749833373
2065,2293412.0231943144,2091547.4584314006,159172.35458829158,0,535705.9279802445
2066,2394690.8933617924,2143325.591487301,158535.6651699384,0,577858.5387317303
2067,2496224.1364151468,2243121.36464067,157901.52250925865,0,610060.5197142386
2068,2598443.3497543,2334965.6858698223,157269.9164192216,0,644884.6681698834
2069,2583375.7851924,2468472.6510120975,156640.83675354472,0,702729.2028968541
2070,2583375.7851924,2668881.861885239,156014.27340653053,0,736144.074121814
