Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,8990.718857915877,3853.1652248210908,10557.491169937235,2159.113708449917
2026,100,9601.30659708629,4114.845684465553,11506.860214985392,2366.031404525887
2027,100,9794.757179712353,4197.75307701958,12129.371148230939,2500.1362284738093
2028,100,10165.088096381609,4356.46632702069,13254.787702134035,2618.2908461591933
2029,1000,52667.875429020496,22571.946612437354,13757.217640056424,9829.605513598839
2030,1000,92885.23754361822,39807.95894726495,14484.345143145869,17340.708059469493
2031,1000,140591.14132787744,60253.34628337604,15717.379510907895,25689.129036655788
2032,1000,190394.18451767438,81597.50765043187,16982.35588700834,33520.34669021714
2033,1000,237765.50362144999,101899.50155204999,18189.529256402046,42167.453339800435
2034,1000,297041.17310678127,127303.35990290626,18814.7664906887,52516.399744270675
2035,1000,353293.6092355982,151411.54681525638,19924.794675489666,62859.58629869068
2036,1000,442938.9722837347,150805.90062799535,20905.10491350885,75364.4230913707
2037,75671.57804644517,476837.7525880129,150202.67702548337,22585.15180675478,79663.18505041431
2038,151527.08673331593,504841.0285077465,149601.86631738144,23756.783773077746,86907.4882222588
2039,228314.07724097947,530294.2089506085,149003.45885211191,24909.308833814855,95213.40768873818
2040,306221.70023417514,575608.4946108055,148407.44501670348,26604.918750505294,98744.00791829763
2041,384857.9412281752,613995.8017523951,147813.81523663667,28506.575931256506,107354.492621506
2042,464752.9570052254,637691.2330185017,147222.55997569012,29995.32694466303,114528.07715081263
2043,546240.593125163,664686.2090514996,146633.66973578735,31940.88818139845,118087.4686621509
2044,629190.3375274226,685142.9796287862,146047.1350568442,33006.86641375371,128199.13748250743
2045,712721.0782999998,722108.4945358551,145462.94651661682,35251.434648287664,135706.58229295793
2046,797281.9173631778,754047.7024342678,144881.09473055037,38639.37112258956,142782.88956049975
2047,882207.9857629867,787785.6319747095,144301.57035162815,39796.11737948188,156983.4854679338
2048,967825.3731359869,833047.8602372134,143724.36407022164,42768.04366859735,169957.7862892355
2049,1054300.050790294,856932.075543739,143149.46661394075,46101.884399069764,177725.39575969818
2050,1142441.8217663046,917758.3003114124,142576.868747485,0,239338.60738282875
2051,1210491.5554692964,951667.5253759776,142006.56127249505,0,252368.87275225986
2052,1278561.2754402538,997963.8847628081,141438.53502740507,0,264838.98205257795
2053,1347166.6757629886,1057403.869893936,140872.78088729546,0,277424.61778040585
2054,1416126.124122627,1130386.6815379995,140309.2897637463,0,294742.5235668487
2055,1484910.6781653543,1237844.935521595,139748.0526046913,0,315878.5946591711
2056,1554400.8835415368,1349421.79974266,139189.06039427253,0,328789.9577093643
2057,1623059.260714942,1434743.6126940923,138632.30415269543,0,346794.32633164746
2058,1691994.7228825085,1514807.9869173507,138077.77493608466,0,361912.23252618726
2059,1761207.2735613226,1621987.4940619986,137525.46383634032,0,381233.4691612348
2060,1830399.959701709,1727099.9248891696,136975.36198099496,0,413594.1738494527
2061,1899319.031438633,1819414.639347717,136427.460533071,0,432682.8095061287
2062,2000021.9727084013,1936958.3500295319,135881.7506909387,0,464419.8305804404
2063,2102343.315923907,2044747.365284596,135338.22368817494,0,488864.12984747795
2064,2205391.75301318,2178352.789803346,134796.87079342225,0,516498.17713249975
