Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10259.347498314675,1992,10517.914026846618,2073.5999695889222
2026,100,10783.948961395581,1984.032,10916.238971548484,2181.7799902775196
2027,100,11508.996155707066,1976.0958719999999,11678.895941722356,2334.407210443555
2028,100,11925.591549171813,1968.191488512,12354.365828494721,2456.0915223638103
2029,1000,52480.937141028626,22491.83020329798,13562.808645821899,9613.57690119895
2030,1000,92092.0674169497,39468.02889297845,14086.059169582159,17291.079626870436
2031,1000,134547.3046949543,57663.13058355185,15398.945138424393,25588.8335098166
2032,1000,183332.52285938276,78571.08122544976,16473.529274028522,34072.5350562722
2033,1000,228487.61447124003,97923.26334481715,17709.34729222979,43787.45198173057
2034,1000,285676.49056063395,122432.78166884312,17870.48616296946,53546.95065697189
2035,1000,338292.6454657975,144982.56234248466,18821.94677204696,62585.51348929665
2036,1000,397218.8616337367,170236.65498588714,19617.952715745818,72420.921471318
2037,76153.40966012877,409908.81686387135,175675.20722737344,21345.49104513127,78144.96871807487
2038,152915.18873909893,421915.74791936786,180821.03482258623,22343.64569103783,85204.49204386644
2039,230664.59263867285,445454.5413546205,190909.0891519802,23124.124081766546,88495.34862817898
2040,310069.69564745616,472401.30673367355,190145.4527953723,25047.936922819597,92068.21873932483
2041,390681.310885211,509153.3368192252,189384.87098419078,26500.20140459919,94871.13601960689
2042,472632.17770519835,542181.0550902365,188627.33150025402,27780.92317655076,101630.46904381561
2043,555331.9105353538,578760.6605626972,187872.822174253,29101.655747953253,106828.71494894962
2044,639600.3724905794,630409.7893215091,187121.330885556,30317.441974423884,110904.78510565123
2045,725391.595862641,659907.9072829947,186372.84556201377,32526.671723644988,116715.95667302328
2046,811249.7394499568,704497.6658010121,185627.3541797657,34313.68188856507,128175.13928383062
2047,898553.2343857774,760699.9309698895,184884.84476304665,35866.66076731854,138201.86114197093
2048,987418.8596510789,807167.5544199658,184145.30538399448,38966.94745129978,144934.08620812304
2049,1076754.6189106046,882886.4268175052,183408.7241624585,41667.272756974475,149519.51267615744
2050,1167392.5556965002,893795.810858213,182675.08926580867,0,201578.74833362259
2051,1238155.2536996747,955491.6417522356,181944.38890874543,0,211045.62349133613
2052,1309300.932643196,1017155.9680030833,181216.61135311043,0,226889.31551178623
2053,1381018.4230646025,1034764.02814648,180491.74490769798,0,240199.66975113496
2054,1453512.8718786426,1101101.9669012246,179769.7779280672,0,247344.13666078215
2055,1526427.7417145823,1184818.357692133,179050.69881635494,0,257417.2013490918
2056,1599423.4946892348,1244922.634956245,178334.49602108952,0,271227.23570374935
2057,1672638.7341992233,1328433.2633345514,177621.15803700517,0,282288.86433787964
2058,1746378.0464884697,1410954.3294292963,176910.67340485714,0,293385.32917395234
2059,1819727.3389490074,1506349.3059978627,176203.03071123772,0,308561.04356081603
2060,1892281.9981303639,1603942.9677732135,175498.21858839277,0,330725.9634860826
2061,1965306.2536023122,1746613.7391414063,174796.2257140392,0,352356.5578219844
2062,2070513.508639691,1841362.0180828506,174097.04081118305,0,370900.70733581076
2063,2176903.2298424663,1984080.2935809467,173400.65264793832,0,391683.09516646847
2064,2284533.3223515903,2087699.261986818,172707.05003734658,0,423775.4953699938
2065,2393153.686794097,2174487.249471486,172016.2218371972,0,448988.9544931892
2066,2503180.7824803726,2294860.003354152,171328.1569498484,0,483188.0421702598
2067,2614133.7070001634,2433324.29791063,170642.844322049,0,513619.06158601807
2068,2726250.300616957,2617653.355400758,169960.2729447608,0,551824.3451693926
2069,2839087.55969048,2833896.6979515813,169280.43185298177,0,576985.4568874611
2070,2821964.937284508,2945317.880456742,168603.31012556984,0,608866.7927972572
