Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,8807.193622858558,3774.511552653668,10472.573152492041,2094.4973149712605
2026,100,8888.218879778844,3809.236662762362,11017.253943451076,2175.002683458182
2027,69382.1649605126,9255.427500238817,3966.611785816636,11655.30490285708,2323.122913065539
2028,131509.74352882986,9805.08266843048,4202.178286470205,12100.106929424554,2491.7072962501566
2029,1000,144962.9769171449,62126.99010734782,12757.354222132211,9637.848396021618
2030,1000,193752.4875968605,83036.7803986545,13444.060035660463,17290.4649669441
2031,1000,249873.66231099976,107088.7124189999,13710.616259597904,25540.20347992704
2032,1000,301108.225361361,129046.38229772614,14198.56177478777,34986.39386306485
2033,1000,362023.25765671855,155152.82471002222,15474.51946266569,43744.79335407856
2034,1000,420947.8764922165,180406.2327823785,16636.24417913489,52590.17325719619
2035,1000,479757.91979525157,205610.53705510782,17561.366132534597,65077.796959648884
2036,1000,570002.9219718175,204788.0949068874,19123.20472383085,77000.97454988175
2037,1000,661654.9769342266,203968.94252725985,20640.471421150574,87530.30292301964
2038,1000,770169.6253647641,203153.0667571508,21772.80432579923,99896.37653008818
2039,1000,895602.1462985876,202340.4544901222,23398.215188226288,112279.771345506
2040,82565.94425697943,953377.4418078779,201531.09267216173,24737.82368302763,116995.71586526894
2041,165023.01099783863,1001952.6791229261,200724.96830147307,25975.441303505246,124666.65522490245
2042,249027.56109350012,1055113.283976459,199922.06842826717,27905.000905255758,133385.53561252626
2043,333900.064545388,1086377.8822609577,199122.3801545541,29505.390539914635,146372.34665571593
2044,420292.93846764934,1159491.0021643462,198325.89063393587,30261.110449949458,154210.730350224
2045,507132.93525616004,1198026.3802133761,197532.58707140014,32860.244617215954,165672.2729175448
2046,595152.3608357934,1244240.158624854,196742.45672311453,34186.353859335584,176840.21366394946
2047,684379.2203181161,1361112.3998694408,195955.48689622208,37052.982346562436,185948.79668692322
2048,774617.6872551235,1377558.4034648258,195171.6649486372,38829.58766967467,199181.7077698979
2049,865283.9848771789,1459529.871058363,194390.97828884263,40896.673256410344,219180.3453880564
2050,957103.9763353571,1543439.4125812845,193613.41437568725,0,278162.94694845733
2051,1029181.1945338908,1611050.447595842,192838.9607181845,0,303272.75253499614
2052,1102007.1379750536,1705063.188983498,192067.60487531178,0,325442.2338151413
2053,1175079.0435497297,1775877.1431112336,191299.33445581055,0,339832.63740050356
2054,1247549.8783729032,1837402.4639883833,190534.1371179873,0,363586.9852898149
2055,1320661.236110226,2015920.817254515,189772.00056951534,0,381300.0006445053
2056,1393165.759415571,2163842.5270527257,189012.91256723728,0,417300.1055044908
2057,1465491.360108389,2347879.6446727305,188256.86091696832,0,448883.3466911463
2058,1537474.1846010867,2502075.778898828,187503.83347330044,0,482716.4628570581
2059,1609530.9026764433,2590599.7084945426,186753.81813940723,0,511073.93218270945
2060,1680648.1883759925,2762737.8102512043,186006.8028668496,0,557289.717661906
2061,1751575.938967127,2865774.924482556,185262.77565538223,0,583371.3704403045
2062,1854149.3874638365,2968892.639859541,184521.7245527607,0,602440.2985560597
2063,1957205.8994926289,3246283.247170417,183783.63765454965,0,631193.1270351637
2064,2014699.9672989692,3455042.440408374,183048.50310393143,0,660954.152946538
2065,2119361.313349494,3556355.195000603,182316.30909151572,0,722062.2590292116
2066,2224393.987352133,3745410.23100132,181587.04385514965,0,757500.2290797512
2067,2330739.4940702347,4045934.540574708,180860.69567972905,0,788058.128540468
2068,2264562.037923897,4468193.487439814,180137.25289701013,0,813589.4065335023
2069,2196634.4414965953,4677100.045507878,179416.7038854221,0,872390.9105650254
2070,2196634.4414965953,5031998.135201863,178699.0370698804,0,926254.6619370149
