Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10817.70931274729,1992,10591.241693769263,2144.7385012284117
2026,100,11461.308646057825,1984.032,10891.973388597331,2258.582253885698
2027,100,12281.769037796865,1976.0958719999999,11545.878372553138,2440.422417638209
2028,1000,52710.11122979681,22590.047669912918,12182.651100416484,9608.139098468246
2029,1000,91955.25659460094,39409.395683400406,12267.413533103048,17160.60194079056
2030,1000,136720.3508756194,58594.43608955117,13047.20586146995,25730.601049346133
2031,1000,181175.57914108035,77646.67677474872,13960.242606608124,33608.197435853406
2032,1000,230530.33816391247,98798.71635596249,14845.951230324845,41360.49027519487
2033,1000,281022.01519827626,120438.00651354698,15344.924024533508,49256.83492128307
2034,1000,331231.5964082751,141956.39846068932,16578.151318276712,57929.78804432761
2035,1000,384826.03969424666,164925.44558324857,16994.91992478516,70208.31913749177
2036,1000,438999.140021781,188142.48858076328,17833.138037634937,83124.27588689538
2037,1000,505409.5596295484,216604.09698409218,19019.709973127283,95378.42907105273
2038,76608.5862259273,528048.4860822539,226306.49403525164,20161.044658648563,101565.93366977219
2039,153586.5072435248,571755.1082666323,225401.26805911065,21458.622315427518,110697.60065819451
2040,231498.16136267426,602181.9868660049,224499.6629868742,22222.16132732151,114500.34026618222
2041,310861.43250418163,642973.8702932145,223601.6643349267,23933.79072186504,120371.6943485989
2042,390734.89834662323,654865.7792180431,222707.25767758698,24642.60957819362,127901.24004737899
2043,471815.10743761883,673749.190845544,221816.42864687662,26035.32264273058,137259.2900449778
2044,553466.7486892636,695149.9267346542,220929.16293228912,27445.296444578013,144558.39169151094
2045,635921.5741219519,725973.2697766655,220045.44628055996,28171.105952289512,156851.5220314076
2046,718872.6943985919,771046.079334541,219165.26449543773,29872.682614707002,164405.04892228812
2047,803475.2086588049,813303.0977595417,218288.60343745598,31755.491907663483,173830.59425408178
2048,889624.027617236,869448.4700221588,217415.44902370617,34438.03102050074,178288.96842820427
2049,976539.060346706,935643.6480914264,216545.78722761135,36555.86721930647,190527.51796418757
2050,1064736.5627793325,1011801.2349769499,215679.6040787009,0,233055.95622436347
2051,1131943.724501306,1092623.9281689187,214816.8856623861,0,242951.3779377104
2052,1198826.307164897,1178330.550619134,213957.61811973655,0,258458.58344938426
2053,1265923.612085012,1230750.096570107,213101.78764725762,0,277964.0884967719
2054,1332853.6198694876,1318102.7422596375,212249.3804966686,0,296985.7263682141
2055,1399230.8108852298,1380341.7897046376,211400.38297468194,0,319098.805168349
2056,1465016.1164808436,1469992.769387015,210554.78144278322,0,335197.08424399514
2057,1531336.8147433172,1518692.185975704,209712.56231701208,0,359979.1396358482
2058,1597915.7945231306,1673218.2884420457,208873.71206774403,0,375012.61750326265
2059,1664063.717555709,1774573.683296742,208038.21721947304,0,399390.20290117565
2060,1729696.5446599766,1914873.4337894614,207206.06435059514,0,423053.47934380884
2061,1795268.7438728916,2064207.2167911325,206377.24009319276,0,451731.52540030493
2062,1894217.9747527523,2162467.626526032,205551.73113282,0,481279.471945818
2063,1994148.7734181148,2299252.807523689,204729.5242082887,0,508470.8940646411
2064,2094322.943156608,2485387.215813572,203910.60611145553,0,524734.186915817
2065,2194952.5985389887,2711236.4889874505,203094.9636870097,0,545647.0480863736
2066,2297328.5384870325,2862584.092585009,202282.58383226168,0,579079.8038366474
2067,2400808.20000126,3000316.828549882,201473.45349693263,0,621927.2926276034
2068,2504524.0324994056,3107870.051929609,200667.5596829449,0,646890.1963548386
2069,2489161.899692281,3173459.614408541,199864.88944421313,0,689129.5158126664
2070,2489161.899692281,3348758.3817546885,199065.42988643626,0,745386.1725164118
