Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10687.042201903221,1992,10398.558845162246,2080.6592046734168
2026,68839.54826938256,9236.943406165738,3958.6900312138873,10703.84711728146,2192.068635930365
2027,1000,95610.15258827127,40975.779680687694,11253.882362212526,9369.575380887007
2028,1000,137298.18602459706,58842.07972482731,12245.162224285437,16616.894909697316
2029,1000,187327.3916764893,80283.16786135256,13241.807612925157,25282.503026745148
2030,1000,241407.5997955832,103460.3999123928,13637.19439789955,33839.10715464105
2031,1000,294024.6051956409,126010.54508384608,14208.461549287766,42126.4442039702
2032,1000,347802.23886464204,149058.1023705609,15437.777374902093,52967.341011923985
2033,1000,409084.10277505516,175321.7583321665,16531.91758693059,62455.3092959241
2034,1000,474801.1708301027,203486.216070044,17421.67841197062,72507.44037083573
2035,1000,544379.4805797836,233305.4916770501,17954.634441608257,80871.39609470192
2036,1000,612099.8960063081,262328.5268598464,19187.3773856762,92146.84992071801
2037,1000,714229.333748058,261279.21275240698,20983.67956152083,104293.20526128919
2038,77657.99569546741,764744.2966883867,260234.09590139735,23351.32315455706,109204.53384751276
2039,155192.26231202044,811692.1799499034,259193.15951779176,24744.616371306758,114098.95369350782
2040,233435.32817890908,862730.904277506,258156.3868797206,26199.70032921115,119090.0971063319
2041,312195.9933341327,914371.8021516543,257123.7613322017,27512.459999683233,127011.50693963
2042,391508.59693935345,1002757.667732423,256095.2662868729,28551.003001237284,133124.2070306849
2043,471446.2699668917,1052174.0678173553,255070.88522172542,30142.31256613908,143461.795580589
2044,552690.9326755037,1079709.3894328305,254050.6016808385,31851.747891252024,152271.62024406504
2045,634929.8904653927,1141768.6076849643,253034.39927411516,34331.73025913615,164499.32228281107
2046,718379.4716647139,1224299.4609185955,252022.2616770187,35264.42554428381,172665.94705216502
2047,802390.518406745,1255892.0894670647,251014.1726303106,36561.3407502171,172653.60957137315
2048,887151.7319712654,1366587.9937334768,250010.11593978936,38701.19653177984,183539.45804022663
2049,973458.0892693392,1428148.4493749326,249010.0754760302,41034.30296766433,200026.61636246974
2050,1059874.9820935475,1489935.0475313652,248014.0351741261,0,254793.93491686293
2051,1125611.6618993066,1587015.2001508859,247021.97903342958,0,272310.43643668323
2052,1191486.1004177646,1636302.4428917167,246033.89111729586,0,293097.4235440973
2053,1258008.3580216172,1723229.5482782645,245049.75555282668,0,307664.52091651916
2054,1324629.3037341333,1851736.7253843755,244069.55653061537,0,336644.42290639324
2055,1390684.5959989147,1965850.7482463077,243093.2783044929,0,360000.8586623488
2056,1456946.5379042872,2080002.0098748547,242120.90519127494,0,389808.673960104
2057,1522949.7674115808,2165032.837061603,241152.42157050985,0,408263.21368060226
2058,1589288.0440974585,2315382.6236394146,240187.81188422782,0,429396.2755284344
2059,1654901.6900362072,2467883.734919022,239227.0606366909,0,448636.3214992249
2060,1720091.820498577,2653223.399865644,238270.15239414416,0,475735.3371223984
2061,1784906.8347925222,2837189.4448416475,237317.07178456758,0,521282.5377182981
2062,1882702.3392891681,2992999.117077743,236367.80349742933,0,558511.6339105114
2063,1981891.2149537422,3086376.5232013697,235422.3322834396,0,610362.6912119449
2064,2081417.2503227382,3274050.7519098334,234480.64295430586,0,649950.9834217741
