Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,1000,52170.80091781558,22358.91467906382,10366.613696955237,9114.677512718756
2026,1000,94049.455721466,40306.909594914,11310.367823318387,16518.88300534871
2027,1000,139630.36248725498,59841.58392310928,12359.986252966663,24879.704295809548
2028,1000,183814.75150619607,78777.75064551261,13197.08849623471,34385.326701639526
2029,1000,232716.81780733372,99735.77906028587,14120.651081227741,44155.35255247443
2030,1000,282526.3452685133,121082.71940079142,15109.205920154605,53775.94541089566
2031,1000,338234.5252213574,144957.65366629604,16227.046352910811,63663.51493481118
2032,1000,398042.96069643,170589.84029847002,17084.881858305835,74471.83237742494
2033,1000,461149.797411104,197635.62746190175,17837.090843011727,87062.95348733122
2034,1000,513823.915747665,220210.24960614214,19389.43897175427,100338.46899356564
2035,1000,575059.0519182371,246453.87939353022,20546.138004699293,111991.14903491382
2036,71274.67876677847,626260.8132825703,245468.0638759561,21661.916346611462,118026.45097421136
2037,142098.8025559385,659813.434602261,244486.1916204523,22395.722905223334,121247.92961698433
2038,213795.72377237282,685397.1278708427,243508.2468539705,23544.998761906045,130980.85142348001
2039,286088.24249629857,725385.2403457087,242534.2138665546,25592.802580311796,139100.42608181603
2040,358020.76967247913,806368.6864344282,241564.0770110884,27445.04852942721,146690.24386012432
2041,431410.6048035201,819633.4555909215,240597.82070304404,29538.498429637963,159970.92034050619
2042,505449.6534580255,856106.70621028,239635.42942023187,31306.902990802657,168354.4446069971
2043,579817.5056756792,897266.2915424134,238676.88770255094,33362.07743351912,181129.99750374487
2044,654960.1046018589,938775.6335985755,237722.18015174073,35232.64435967307,189571.3925173572
2045,729963.2327345331,956633.2210796042,236771.29143113378,38484.29099466286,199664.0519440084
2046,804456.467008854,997904.7619862445,235824.20626540924,40638.28174940695,213973.4445810431
2047,879409.8203393556,1019399.8420384631,234880.9094403476,43072.822867991694,221799.04617927337
2048,954305.737833431,1092320.6951820098,233941.3858025862,45620.445362599414,231910.102643528
2049,1029531.5382973581,1145561.9261240086,233005.62025937586,49646.00891956762,248350.18729463112
2050,1104531.258186592,1203291.3371566504,232073.59777833836,0,321108.47907304775
2051,1159496.3830214262,1270179.483164332,231145.303387225,0,339937.5701713006
2052,1213728.790272244,1319989.5326347665,230220.7221736761,0,363826.4691443302
2053,1267306.5958810493,1425802.7310892243,229299.8392849814,0,386788.59685963276
2054,1320369.3260093492,1466230.3836679533,228382.63992784146,0,414234.08752975333
2055,1372004.0747944547,1535423.5527894064,227469.1093681301,0,434684.5875166466
2056,1422594.1577380383,1676262.1967202905,226559.23293065757,0,443468.5847379576
2057,1471568.636147286,1779698.5731605384,225652.99599893493,0,455296.9315346939
2058,1519143.735627729,1855403.4673417115,224750.3840149392,0,495874.21272988257
2059,1565710.6621766882,1990571.7183276576,223851.38247887944,0,513281.8919835114
2060,1610843.7536621115,2132791.6564683183,222955.97694896391,0,546559.3591651232
2061,1653134.0709336342,2211602.279065082,222064.15304116806,0,580515.125910056
2062,1725489.3665040857,2401578.9451041142,221175.8964290034,0,620770.4276507281
2063,1796596.643874479,2540743.451813846,220291.19284328737,0,649583.2843662191
2064,1866880.859526244,2759929.634566595,219410.02807191422,0,685482.6659503283
