Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,8990.718857915877,3853.1652248210908,10557.491169937235,2159.113708449917
2026,100,9601.30659708629,4114.845684465553,11506.860214985392,2366.031404525887
2027,1000,52616.14129952292,22549.774842652674,12355.889526463336,9548.948733182755
2028,1000,92905.37073901817,39816.58745957922,12939.819868552457,17250.697272958405
2029,1000,133348.94486995082,57149.54780140749,13367.015529312288,24957.379006835232
2030,1000,176277.08871711878,75547.32373590805,13974.70694114511,33215.10232329451
2031,1000,222960.04902098374,95554.30672327876,14276.896642210066,41620.442802275255
2032,1000,267458.9764292008,114625.27561251463,14815.094156990677,51059.961088061675
2033,1000,316120.44922109885,135480.1925233281,15634.012448978378,60869.85988261087
2034,1000,369518.7541595402,158365.1803540887,16079.645115409408,70557.91474037652
2035,1000,419494.1007027991,179783.18601548535,16980.707783264334,83019.0892386798
2036,1000,513683.85859075317,179064.0532714234,17500.092110461585,96221.80906744825
2037,66473.79652520314,529620.777762643,178347.79705833772,18456.548577160855,101073.14033894138
2038,132905.61896374336,560083.8963145688,177634.40587010435,19862.466657014025,106672.58911691794
2039,199446.9586810189,621602.3620825807,176923.86824662393,21187.093752150828,112954.68246634293
2040,265909.4054895118,656225.7137889102,176216.17277363743,22056.671530222586,118853.72128448443
2041,332416.71384145593,714425.1714698779,175511.30808254288,23107.086564920326,127054.9430384683
2042,400024.3390451966,736412.737374477,174809.26285021272,23878.250195420078,137934.48445424627
2043,468025.8242186519,781759.8747493565,174110.02579881187,24573.383800086824,148948.25794528014
2044,536768.7956129722,846429.2223922602,173413.5856956166,25854.742533278295,157815.29849705097
2045,605972.0201899592,871768.7609582519,172719.93135283413,27451.539846804226,166505.95387205834
2046,674963.7189791306,892653.6555300907,172029.0516274228,29559.089478734582,179949.09974663224
2047,744895.156310289,933450.7566216447,171340.9354209131,31482.32324635686,188053.88851941767
2048,814814.6557122896,998301.5833076165,170655.57167922944,32926.02248889879,202484.39008426477
2049,884502.515408081,1048442.5908984996,169972.94939251253,34429.49899681574,215182.1252646419
2050,954541.1676678743,1095174.0310119763,169293.05759494248,0,263921.8714888813
2051,1001830.6005921994,1163088.5745324332,168615.8853645627,0,277059.50087513414
2052,1048476.6933774973,1255529.6399756637,167941.42182310447,0,301209.4260355178
2053,1095098.3630123474,1289622.6231125656,167269.65613581205,0,320224.16739940736
2054,1141392.616293495,1389054.8792519695,166600.5775112688,0,334388.52745377785
2055,1186646.2335306257,1478110.7456482113,165934.17520122373,0,358602.5130271324
2056,1231000.2629518693,1577225.9198148458,165270.43850041882,0,395902.8347017439
2057,1274596.446080436,1661529.7625318042,164609.35674641715,0,414042.54024310224
2058,1317193.2370893683,1743119.425823587,163950.91931943147,0,437587.7689738168
2059,1359207.331734261,1816467.3758899595,163295.11564215375,0,466459.3245130554
2060,1399007.8984598957,1931597.831747582,162641.93517958513,0,487773.10157783434
2061,1437479.869864414,2058225.3843161575,161991.3674388668,0,510268.5142177364
2062,1507622.5056240018,2190178.8730828185,161343.40196911132,0,549432.326082813
2063,1576849.4469897507,2331116.099115681,160698.02836123487,0,591131.9740831259
2064,1645683.7035594024,2446346.149719524,160055.23624778993,0,611725.4730495025
