Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,69311.16618181363,10849.699029715746,1992,10641.26421009562,2052.189155598103
2026,131752.9523560184,9371.3306670911,4016.284571610472,11397.979936095962,2208.6479906246627
2027,194060.63556861976,9482.574658883472,4063.9605680929167,11981.864481934035,2332.7322291409014
2028,256886.95199853135,9996.443743354715,4284.190175723449,12651.490766109995,2535.8769842395573
2029,1000,228631.07346682937,97984.7457714983,13344.47342837691,9750.93742005288
2030,1000,274740.3634292527,117745.87004110831,13870.728314585489,17303.822805504722
2031,1000,327845.30195982225,140505.1294113524,14821.768145698301,24804.545144123294
2032,1000,387359.92587066983,166011.39680171563,15635.470279420962,33405.8877938879
2033,1000,447460.20544253336,191768.65947537145,16543.95020364624,43199.16993493443
2034,1000,498914.92689592845,213820.68295539793,17551.075881564182,53600.93211170626
2035,1000,564917.0193521414,242107.29400806062,18089.465884562927,63972.482242489044
2036,1000,627315.1137069921,268849.3344458538,18615.018112123405,73706.02656826995
2037,1000,703836.6770905043,267773.93710807036,19907.88340238291,88209.18718811843
2038,1000,815917.4108288412,266702.8413596381,21170.351576008386,99814.55398873755
2039,1000,908690.6168615837,265636.0299941995,22376.902489657674,113688.52417585212
2040,69093.60686831242,999335.5829731235,264573.4858742227,24555.861732283644,121387.91223337744
2041,137670.43743143964,1066847.1780796621,263515.1919307258,26033.064972400443,127750.308732816
2042,206076.28232586337,1129119.271741213,262461.1311630029,28468.7750361586,135153.53718115963
2043,275161.4609672701,1217306.7872789067,261411.28663835092,29431.694110093238,144175.95240589348
2044,344431.3892962308,1337613.0428136005,260365.64149179752,30789.042039614244,152623.62363805008
2045,414205.7744883494,1434403.1662694828,259324.17892583032,33049.4924481557,159824.34955377213
2046,483835.06542843883,1499793.7552467622,258286.882210127,36051.20792248229,174107.72243359525
2047,553460.4538471693,1562680.4863783333,257253.73468128647,38298.17866979999,188921.0070119382
2048,623137.612549712,1638637.9721317177,256224.7197425613,41283.74358726915,194563.7319847768
2049,693377.2040394174,1721223.6141465383,255199.82086359107,42955.60204175599,203589.32405697324
2050,763350.9709868548,1856692.0465941078,254179.0215801367,0,259832.46437111136
2051,812142.520590912,1954608.5554618372,253162.30549381615,0,280457.32437754003
2052,860257.0095543333,2036305.3138301487,252149.65627184088,0,297414.8161077574
2053,906957.2295201753,2180232.530747541,251141.05764675353,0,310758.33753864665
2054,953202.5989218918,2296770.401763449,250136.49341616652,0,335250.46346655797
2055,997560.1431514748,2489337.646639993,249135.94744250184,0,342549.2783961643
2056,1040584.9439283572,2697705.1102287956,248139.40365273182,0,356951.19533123926
2057,1082402.4246132574,2958745.231966249,247146.8460381209,0,385664.5764828949
2058,1079245.647210661,3093689.4011573237,246158.2586539684,0,405894.6097821655
2059,1118293.2326101053,3302468.9290038007,245173.62561935253,0,414231.7788077119
2060,1154783.940984682,3557807.2289284775,244192.93111687512,0,429833.47522025905
2061,1146665.7241629262,3751451.263557665,243216.15939240763,0,457467.50157085794
2062,1211012.3179465954,4091987.177509771,242243.294754838,0,490400.6729482346
2063,1217616.4813610476,4475788.110765818,241274.32157581864,0,510313.2218389432
2064,1217331.405350917,4642164.52010714,240309.22428951538,0,529791.0864663159
2065,1277743.523213779,4822264.780591673,239347.98739235732,0,572473.6058242781
2066,1216053.913682273,5090181.705837896,238390.5954427879,0,591528.5716626565
2067,1167639.5458836795,5501373.062963189,237437.03306101673,0,621264.200553468
