Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10473.726911634552,1992,10588.079796331831,2160.0930771279936
2026,100,11140.087042157209,1984.032,11297.768719333706,2346.7188056202235
2027,68601.60199417005,11686.730816438188,1976.0958719999999,11661.714075411077,2566.7447275009754
2028,129176.34840151687,9959.267450708177,4268.257478874933,12298.19638929294,2640.118017131259
2029,1000,138092.95185594074,59182.69365254604,13008.129664208327,9817.069529552486
2030,1000,182347.76360484617,78149.04154493408,13788.205948215053,17746.737940993953
2031,1000,226242.9175973744,96961.25039887475,14715.539362964082,26122.848115722772
2032,1000,279873.3096731513,119945.70414563626,15107.05673698696,34261.32500425831
2033,1000,330296.582581119,141555.678249051,15879.341379923799,42680.15274019957
2034,1000,377989.9162299204,161995.6783842516,16912.98842964479,53606.90150012122
2035,1000,426899.44509970996,182956.90504273286,17984.70784128749,63417.75104398568
2036,1000,485266.4748432724,207971.34636140245,18995.787556895582,73523.86086773004
2037,1000,541219.2943385028,231951.12614507263,20441.479971529738,86566.71586965359
2038,1000,606446.0825437729,259905.46394733124,21582.42272701662,99859.96914072447
2039,1000,693067.6672107644,258865.8420915419,22291.552183461263,111027.300934773
2040,70862.74974335154,735440.2148529649,257830.37872317573,23325.073731218803,117847.73648176697
2041,141129.35683492754,773210.532684471,256799.05720828302,25194.030097829618,126446.84443306181
2042,211758.42946252765,837721.0917713239,255771.86097944988,26933.53198944524,135307.66772917603
2043,282959.5381335347,870974.501075313,254748.7735355321,29089.767809057656,146659.40246506443
2044,354962.460448796,935979.9864425195,253729.77844138996,31372.37281450189,159752.42852116856
2045,427076.395642021,994653.9367111813,252714.8593276244,33452.406474431664,168047.24045687297
2046,499906.7039394143,1086619.1936381035,251703.99989031392,34983.43046131489,176783.074559403
2047,572219.5717579126,1132926.9928782305,250697.18389075267,36642.90584222568,187475.60067877025
2048,645336.3956010871,1173603.2060105146,249694.39515518965,40347.218945673594,204604.81723144947
2049,718330.2505750282,1265760.385925273,248695.6175745689,42695.103627835764,213332.92798636967
2050,791340.6708286009,1340725.189406544,247700.83510427063,0,268541.8055093421
2051,843789.3466460679,1427722.2559427011,246710.03176385356,0,283144.7956671809
2052,895793.7048980123,1532519.0935927513,245723.19163679815,0,303275.61576617236
2053,947652.9258706606,1638940.3406817764,244740.29887025096,0,315942.39263193717
2054,998700.7474032762,1690011.334308978,243761.33767476995,0,336342.906674117
2055,1048153.8095747264,1776835.4336196913,242786.29232407088,0,359522.15916273196
2056,1097568.6581543824,1846349.7041343788,241815.1471547746,0,381736.98328178655
2057,1146727.9239198405,1990559.3797570432,240847.8865661555,0,412539.5849110723
2058,1194878.6898232016,2051687.3864838239,239884.4950198909,0,433809.70854256465
2059,1242329.6098329131,2171649.525207404,238924.95703981133,0,456205.54866482207
2060,1288578.5845815546,2325886.1163629005,237969.2572116521,0,490163.02025715826
2061,1333879.8843590065,2475094.502868548,237017.38018280547,0,536590.9150569045
2062,1409186.4425149618,2573326.7510351813,236069.31066207425,0,564986.2227390159
2063,1482987.6086224513,2715721.5120421555,235125.03341942595,0,586654.5409242152
2064,1555972.0634468505,2907219.7469433374,234184.53328574824,0,620103.4572138442
