Year,Bond Fund (after-tax),Equity Fund (pre-tax),Bond Copy (after-tax),Bond Copy 2 (after-tax),Cash (non-retirement),Equity Fund (after-tax)
2025,0$23,803.13,0$15,868.75,0$482.52,0$726.1,0$57,982.03,0$34,696.6
2026,0$20,445.58,0,0$800.55,0$1,209.16,0$111,010.55,0$15,423.86$30,529.74
2027,0$17,765.93,0,0$1,046.1,0$1,605.98,0$169,532.42,0$15,133.94$28,357.05
2028,0$15,180.07,0,0$1,230.11,0$1,931.4,0$239,316.24,0$14,584.77$25,116.21
2029,0$13,243.35,0,0$1,417.03,0$2,224.72,0$321,582.92,0$14,346.96$23,052.94
2030,0$11,118.46,0,0$1,190.03,0$1,850.95,0$420,622.26,0$13,589.22$19,299.09
2031,0$9,578.78,0,0$990.37,0$1,571,0$387,570.62,0$13,227.83$17,758.27
2032,0$7,895.64,0,0$844.84,0$1,331.38,0$387,970.83,0$12,349.59$15,751.78
2033,0$6,794.69,0,0$681.64,0$1,081.22,0$388,557.93,0$12,079.45$14,302.9
2034,0$5,687.87,0,0$601.88,0$874.66,0$389,381.03,0$11,548.11$12,815.57
