Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,69311.16618181363,10849.699029715746,1992,10641.26421009562,2052.189155598103
2026,131752.9523560184,9371.3306670911,4016.284571610472,11397.979936095962,2208.6479906246627
2027,195371.90796861975,9482.574658883472,4063.9605680929167,11981.864481934035,2332.7322291409014
2028,259548.83497053132,9996.443743354715,4284.190175723449,12651.490766109995,2535.8769842395573
2029,1000,231468.18176964132,99200.64932984627,13344.47342837691,9750.93742005288
2030,1000,278665.2828559204,119427.97836682302,13870.728314585489,17303.822805504722
2031,1000,332995.5584949848,142712.38221213635,14821.768145698301,24804.545144123294
2032,1000,393881.2263850082,168806.23987928923,15635.470279420962,33405.8877938879
2033,1000,455400.66878601303,195171.7151940056,16543.95020364624,43199.16993493443
2034,1000,508175.84239978174,217789.6467427636,17551.075881564182,53600.93211170626
2035,1000,575797.7998506923,246770.48565029667,18089.465884562927,63972.482242489044
2036,1000,639790.707749142,274196.0176067751,18615.018112123405,73706.02656826995
2037,1000,718404.9394540531,273099.233536348,19907.88340238291,88209.18718811843
2038,1000,833383.8264846543,272006.8366022026,21170.351576008386,99814.55398873755
2039,1000,928725.0488953067,270918.8092557938,22376.902489657674,113688.52417585212
2040,71019.25459523096,1021368.517444379,269835.13401877065,24555.861732283644,121387.91223337744
2041,141579.50231708432,1090368.5800651102,268755.7934826956,26033.064972400443,127750.308732816
2042,212028.26688499594,1154013.6228964995,267680.7703087648,28468.7750361586,135153.53718115963
2043,283217.6527900952,1244145.460025589,266610.04722752975,29431.694110093238,144175.95240589348
2044,354654.9146006592,1367104.177746,265543.60703861964,30789.042039614244,152623.62363805008
2045,426661.6532788292,1466028.289507616,264481.43261046516,33049.4924481557,159824.34955377213
2046,498590.2683095516,1532860.5829398562,263423.5068800233,36051.20792248229,174107.72243359525
2047,570583.9605416339,1597133.8145120612,262369.8128525032,38298.17866979999,188921.0070119382
2048,642700.4721719291,1674765.9792568877,261320.33360109318,41283.74358726915,194563.7319847768
2049,715452.5971772196,1759172.435090191,260275.0522666888,42955.60204175599,203589.32405697324
2050,788014.2736457095,1897627.619081382,259233.95205762205,0,259832.46437111136
2051,839471.370056451,1997702.9503309967,258197.01624939157,0,280457.32437754003
2052,890331.372230757,2081200.9247815853,257164.228184394,0,297414.8161077574
2053,939859.4708038103,2228301.3889974845,256135.57127165643,0,310758.33753864665
2054,989017.5551709544,2347408.6384276724,255111.0289865698,0,335250.46346655797
2055,1036375.1958149278,2544221.5256689684,254090.58487062354,0,342549.2783961643
2056,1082490.0958986324,2757182.9882601234,253074.22253114104,0,356951.19533123926
2057,1127490.3788695594,3023978.4138160385,252061.92564101648,0,385664.5764828949
2058,1126739.234240306,3161897.7758129365,251053.67793845243,0,405894.6097821655
2059,1169163.4545849962,3375280.3876827955,250049.46322669863,0,414231.7788077119
2060,1209132.096953176,3636248.2800347777,249049.26537379183,0,429833.47522025905
2061,1203740.3636676956,3834161.697640443,248053.06831229667,0,457467.50157085794
2062,1271776.6976251784,4182205.605508761,247060.85603904747,0,490400.6729482346
2063,1281042.1181784943,4574468.42179641,246072.6126148913,0,510313.2218389432
2064,1283388.0305713485,4744513.028875347,245088.3221644317,0,529791.0864663159
