Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10538.903193180948,1992,10561.464052015364,2134.5939726646916
2026,100,9342.565717520782,4003.956736080335,11048.987220168616,2324.2259388134485
2027,69479.39224413017,9693.861296671881,4154.511984287949,11737.362940620147,2388.406453782197
2028,131539.82377878684,10115.363408386087,4335.15574645118,12395.045401512538,2499.552220130019
2029,1000,140765.32581866076,60327.996779426045,13640.206974153265,9615.197581535927
2030,1000,188564.00643841512,80813.14561646363,14178.907551194587,16889.292358290266
2031,1000,237702.81535164613,101872.63515070548,14601.61870605423,24774.58191702725
2032,1000,286331.6618791804,122713.5693767916,15472.437866301756,32567.03808537194
2033,1000,345119.5616904695,147908.38358162978,16211.17944035279,41672.3514584496
2034,1000,398857.97783496574,170939.13335784248,17411.452648671875,52249.022554691095
2035,1000,456417.3453345352,195607.43371480078,18085.131163658112,61496.89179135564
2036,1000,520312.43274342496,222991.042604325,19005.12185151191,72494.04448836604
2037,1000,615472.6295202634,222099.07843390768,20551.56234392049,81345.62712951428
2038,1000,709644.6927322627,221210.68212017204,22182.1421498793,92716.34457774599
2039,1000,799905.9209197394,220325.83939169135,23171.607061943567,106102.89343993423
2040,69191.03320559331,860157.0009501604,219444.53603412458,24125.285066104127,116069.9457497318
2041,137164.23301690456,902174.6794286498,218566.75788998808,25320.890118041712,124284.67241835216
2042,205506.45522145883,919011.8471200586,217692.49085842812,26602.41566770823,131840.93048423817
2043,274844.64728265244,987010.1776383519,216821.72089499442,28054.18940997472,139006.1581726566
2044,344166.34966721747,1034592.7828397026,215954.43401141444,29150.85023962839,146201.6032465743
2045,414556.40058982157,1101433.8692046471,215090.61627536878,30314.781526557406,161434.63347435766
2046,484258.8111441452,1191312.2339902679,214230.2538102673,32595.92491811346,167276.33841797753
2047,554729.288362251,1268990.2902390105,213373.33279502625,34052.21200234557,174329.03231105598
2048,624759.6266814698,1380375.4552428657,212519.83946384615,36303.85543661404,188824.2538668869
2049,694817.4263718043,1473628.130995479,211669.76010599078,39336.271744993326,192012.05855983894
2050,764186.8653000235,1573700.30600471,210823.0810655668,0,240375.79488708242
2051,811998.0719962082,1764744.6568747372,209979.78874130454,0,253341.41565294535
2052,859009.2304699783,1930394.0512369294,209139.8695863393,0,264549.11586598534
2053,905457.7882993501,2025362.4223843175,208303.31010799395,0,279048.23685613065
2054,950351.3262677159,2223876.799780382,207470.09686756198,0,296286.8555665425
2055,994240.10297527,2380529.9489067355,206640.21648009174,0,317505.0475076858
2056,1037174.3893480144,2529544.2852847814,205813.65561417138,0,327727.1951595148
2057,1078592.9899494508,2639685.4761652057,204990.4009917147,0,349013.0717213537
2058,1118347.2630488696,2799094.393387199,204170.43938774784,0,373650.9795372515
2059,1156956.495693899,2988866.457311608,203353.75763019687,0,396423.722688764
2060,1193520.4939642055,3296082.44105704,202540.34259967608,0,418699.0153223759
2061,1177653.5077003173,3344161.5812931205,201730.18122927737,0,440110.59931486123
2062,1244177.8241320292,3483833.7981108087,200923.26050436025,0,477868.4067424416
2063,1310765.158962122,3615925.48603412,200119.56746234282,0,510490.6516731316
2064,1376366.7706401737,3780220.653167167,199319.08919249344,0,543773.0338203893
