Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10690.452504287741,1992,10773.287913299084,2100.879119659435
2026,100,11341.285081275968,1984.032,11456.733619703002,2280.7978106144046
2027,69212.6225160797,11994.785006257016,1976.0958719999999,12172.706206259449,2379.2989187543353
2028,1000,96159.30666869826,41211.13142944211,13051.875185464507,9605.076497132497
2029,1000,138612.47038207523,59405.34444946081,13710.019046664796,17098.025710045797
2030,1000,189917.31728030677,81393.13597727433,14939.705499342233,25651.729894526507
2031,1000,240783.0295666985,103192.72695715651,16075.07417828881,34170.66188763644
2032,1000,295802.575372498,126772.53230249915,17342.433071880645,42902.72628036991
2033,1000,356664.4531238198,152856.19419592278,18274.50926819008,52573.71989521641
2034,1000,415093.22998194053,177897.0985636888,19755.176447266436,64546.211821185614
2035,1000,475925.2177932986,203967.95048284228,21348.017833600097,74550.25622674024
2036,1000,542513.4609509138,232505.76897896308,22959.203550144615,85283.85668081742
2037,1000,618355.6581215879,265009.5677663948,24555.70244007388,92251.53861852411
2038,1000,702046.245626829,300876.9624114981,26378.920645702157,104741.39417807505
2039,78042.62889337025,746392.9518494002,299673.45456185215,28868.484614426376,110957.69554995958
2040,156518.48899350455,797553.5488890958,298474.76074360474,30608.52872461752,115760.56158494015
2041,236458.0728590733,844356.8587860351,297280.86170063034,31211.64602938155,121329.42251803537
2042,317466.0412508563,889925.1516155329,296091.7382538278,32676.62494098743,128634.02782680685
2043,398724.77971576917,976672.4189178861,294907.37130081246,35568.5889983469,135484.4060640063
2044,480772.70387195377,1030851.9855011737,293727.7418156092,38713.325987824166,141797.86700469867
2045,563785.0437360978,1115609.4266596632,292552.83084834676,39990.902607886725,151539.54903853277
2046,647629.3212770835,1177886.1671685274,291382.61952495336,41634.13273171629,159343.60531137566
2047,732300.685276659,1266748.5698938987,290217.08904685354,45312.51239543469,166907.1428884511
2048,817666.2554875192,1384514.2195863079,289056.2206906661,47843.446272181056,180106.42958549992
2049,903786.3888108215,1460100.0120421152,287899.99580790347,49571.01042867633,191011.2613976175
2050,990366.126086081,1482942.6338155237,286748.39582467184,0,249602.130739504
2051,1055648.0694660658,1515500.7612997838,285601.40224137314,0,258110.82367461364
2052,1120941.5561629992,1568127.2600586677,284458.99663240765,0,270014.48564989556
2053,1186629.619235886,1629814.350702347,283321.160645878,0,285598.48850088654
2054,1252418.3775521608,1727871.8617765182,282187.8760032945,0,299529.50814517675
2055,1317671.5489580224,1821847.2727462582,281059.1244992813,0,312830.2286057089
2056,1382722.9417630928,1891948.7660080488,279934.88800128415,0,325021.5513831795
2057,1447017.6520876363,1988494.5208958874,278815.148449279,0,345134.5879066449
2058,1511391.718362213,2080218.23347502,277699.8878554819,0,360708.99949357763
2059,1575110.3955924504,2238020.7412391207,276589.08830405993,0,370811.82126199314
2060,1639317.1615615834,2323849.0648469334,275482.7319508437,0,401029.09110632504
2061,1703228.4135000817,2504764.1510889865,274380.8010230403,0,414915.3742330444
2062,1800129.560564326,2706283.2190794856,273283.27781894815,0,439799.1277963913
2063,1898076.2540588656,2928578.350943691,272190.14470767236,0,468884.7522395069
2064,1996438.8757107826,3178198.756194131,271101.3841288417,0,494653.33766288764
