Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10513.023376734658,1992,10608.527517039734,2090.152425169556
2026,100,9168.24928014639,3929.2496914913104,11172.32373548262,2208.582291632193
2027,68215.81383837499,9383.115759124898,4021.335325339242,11546.381383323467,2334.0883067554078
2028,1000,94939.15342086485,40688.208608942085,12207.784348597292,9466.417979077405
2029,1000,138563.63304850605,59384.41416364545,12937.81887396959,17093.028861217783
2030,1000,186715.3415297403,80020.86065560298,13676.466977083108,24846.48482769549
2031,1000,240336.97794933285,103001.56197828552,14286.644285400114,32959.50098638851
2032,1000,299449.0846496188,128335.32199269376,14769.120154410337,42165.878798005695
2033,1000,349662.7706967025,149855.47315572962,15558.401381623882,51603.318404594065
2034,1000,411919.781523083,176537.04922417842,16144.607955185696,61935.47676682209
2035,1000,488062.5061627582,209169.64549832497,17361.252624284567,73838.82164493576
2036,1000,543112.2129765599,232762.37698995424,18431.823288208045,85286.84906650998
2037,1000,661663.1107617283,231831.32748199443,20013.034556735936,96543.99583468809
2038,1000,773877.9855409589,230904.00217206645,20910.77140534909,108526.38345471582
2039,76742.35072725915,798580.9677886248,229980.3861633782,22667.963559935673,112807.59234837964
2040,153723.35283237346,837456.7956028719,229060.46461872468,23593.82069243936,120045.66049148778
2041,231245.54355926637,887053.6277880959,228144.22276024977,25052.902993310705,127449.94970165264
2042,310330.6294633663,961478.9892263577,227231.64586920876,26089.04022735436,133124.6387351269
2043,390397.58384357445,985348.8712441752,226322.71928573193,27887.058481529515,139689.95733422533
2044,470845.8076201051,1071815.9110016664,225417.428408589,30210.085734012835,149478.90568574308
2045,552857.7618705736,1135485.8975630908,224515.75869495465,32049.293604945895,156692.83124573404
2046,635022.1306140681,1179252.4297451486,223617.69566017482,32708.61119917264,170439.17266249593
2047,717915.5889207064,1244614.266805965,222723.2248775341,33777.46559071025,174206.45196637232
2048,802088.2279807848,1324059.7389891294,221832.33197802398,36513.400952944045,184952.91514084305
2049,886613.7168266446,1395839.411186298,220945.00265011188,39333.916693440086,194409.7351459014
2050,971807.3743656902,1491514.7532201677,220061.22263951143,0,255309.77283028368
2051,1035619.0472774038,1584198.4087846833,219180.9777489534,0,267069.3352894685
2052,1099362.8564822178,1660892.701925849,218304.25383795757,0,280694.4991557139
2053,1163705.0386753168,1743357.4219225019,217431.03682260573,0,298762.7415765259
2054,1227384.6147055153,1844157.0928729533,216561.3126753153,0,320284.32010891207
2055,1290871.7616373224,1975184.7397039912,215695.06742461404,0,343496.23472077376
2056,1354085.4737214358,2087445.1935237646,214832.2871549156,0,364289.0105528063
2057,1416655.1605848228,2242280.6110709403,213972.95800629593,0,397620.252052399
2058,1478740.84219576,2368323.8250300596,213117.06617427073,0,421520.02639205754
2059,1540135.3160633089,2550276.4305825448,212264.59790957364,0,447299.9394302546
2060,1601803.9574849855,2570648.976735307,211415.53951793534,0,484175.1881927264
2061,1663433.4059515162,2801346.403801821,210569.8773598636,0,513411.75895640324
2062,1758896.5265421404,3023124.786310221,209727.59785042415,0,537396.409935188
2063,1855427.7793637153,3219438.711134335,208888.68745902245,0,572571.2461719192
2064,1952531.1034081902,3359576.6570190983,208053.13270918635,0,612892.6976033237
