Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,68661.59996741389,10470.447094195886,1992,10847.659443950155,2171.1094101094
2026,1000,133600.52099325875,1984.032,11904.679206646646,9298.058045629756
2027,1000,141838.31369040185,60787.84872445794,12565.997239278267,16970.719390879836
2028,1000,188570.63718649241,80815.98736563961,13704.07729958381,24759.256533190986
2029,1000,236667.76570839854,101429.04244645653,14128.55249063506,32983.09901175838
2030,1000,288517.2325872214,123650.24253738062,14868.027909982942,42725.7375718789
2031,1000,347395.2429134947,148883.67553435487,15451.123200109865,53425.517085169864
2032,1000,404335.73280622624,173286.74263123982,16142.54501307911,62300.008881624744
2033,1000,461352.30597858597,197722.41684796542,16755.761781579655,73909.58930926095
2034,1000,526686.415034587,225722.7493005373,17566.068695933114,86145.8731213756
2035,1000,582372.3085546097,249588.13223768986,18323.481967409578,97431.1850900049
2036,1000,651006.4074844526,279002.7460647654,19055.220015460767,112889.38833460867
2037,76561.7058135525,692330.6429822508,296713.1327066789,20311.29062888694,119215.2209448995
2038,153611.0110226634,732762.8690409124,295526.2801758522,21178.515534292306,131564.7545459857
2039,231715.13512442174,788066.8642321932,294344.1750551488,22281.995375526356,138101.9634962475
2040,311323.4653953341,856656.0423262141,293166.7983549282,22707.371661594098,148198.25289190348
2041,391733.31637099676,896001.1113696318,291994.1311615085,23756.56270245209,155720.9861110841
2042,473366.19385211956,943411.238425361,290826.15463686245,24859.07171515718,164597.26206758633
2043,555685.2063646902,1014576.2476823147,289662.850018315,25802.126405013776,172644.88493554702
2044,639016.1939344094,1070314.230815157,288504.19861824176,26950.588946072454,187687.866921733
2045,723606.6762839077,1134544.2669538471,287350.18182376877,27883.831272909803,201341.5422108389
2046,809368.9858455295,1173680.1405841825,286200.7810964737,30285.00677662896,217864.62490494168
2047,896372.2971031179,1275926.2777531922,285055.9779720878,31735.492664910773,231609.1570122677
2048,984619.0552570272,1366269.8194989322,283915.7540601994,34609.69227945118,236771.95843153723
2049,1074449.555439171,1479528.220383653,282780.0910439586,35925.20118935767,250753.80217644537
2050,1165761.5272970207,1572919.8518326897,281648.9706797828,0,302576.2125016235
2051,1237119.4545810749,1616999.6112955299,280522.37479706365,0,323921.8356284808
2052,1307877.2195635163,1741539.863108736,279400.2852978754,0,338853.7594159627
2053,1378787.8400785495,1814527.2446082383,278282.6841566839,0,349884.5572767406
2054,1450152.5613411088,1943888.025977,277169.5534200572,0,369255.43065689795
2055,1521264.5612240662,2026516.4517154016,276060.87520637695,0,389347.38228759845
2056,1592290.5855204866,2164152.987283279,274956.63170555147,0,403657.6950003968
2057,1663142.0114802637,2253891.0755394893,273856.80517872924,0,437307.4289864083
2058,1733276.2784738403,2338500.9920276282,272761.3779580143,0,458725.5207455534
2059,1803225.202071127,2431757.083617683,271670.33244618226,0,488541.4761757863
2060,1872337.4135557874,2593754.8804401658,270583.6511163975,0,509170.68801417516
2061,1941685.729126353,2856104.3317152103,269501.31651193195,0,537810.6802281026
2062,2000019.0188353613,3030340.5497480687,268423.3112458842,0,563178.9317489607
2063,2103245.3537765397,3366525.7919537537,267349.61800090066,0,595317.1337756624
2064,2151291.462707059,3481548.249554678,266280.2195288971,0,621416.9847662023
