Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,68640.15333208433,10576.235048676876,1992,10464.325261963282,2177.119759263778
2026,129300.11353843575,11239.76439491474,1984.032,11268.291390251732,2255.4949704528667
2027,191498.28794173096,11689.001060066137,1976.0958719999999,11798.766236657899,2453.628829312869
2028,260226.37180634393,9802.582425018996,4201.10675357957,12735.02672659187,2525.831202454273
2029,1000,234859.92656608077,100654.25424260605,13440.198983986536,9687.001391706675
2030,1000,291172.76708257303,124788.32874967417,14158.620808013791,17309.24703301015
2031,1000,341094.5748253439,146183.38921086167,14968.366494164202,25079.718548916742
2032,1000,393701.3296714238,168729.14128775307,15392.29368874641,33423.633306421296
2033,1000,450275.7169698995,192975.30727281407,16196.797311251825,41828.94733703757
2034,1000,523816.1189031711,224492.62238707335,16911.65101262214,51310.6825386122
2035,1000,599102.7983426482,256758.34214684923,17745.661247523225,61626.57770524164
2036,1000,679368.9472029649,291158.1202298421,18881.96736375101,72696.89962191896
2037,1000,756170.3721886311,324073.0166522705,20266.86968272879,85532.32903007942
2038,1000,849302.1249557951,363986.6249810551,21820.977027551093,97573.78043150285
2039,1000,968917.0133096332,362530.67848113086,23277.241423626194,111662.71381171883
2040,82590.16676873101,1039578.5452461152,361080.55576720636,25400.522173440087,118612.52056014625
2041,165199.0553131799,1106236.9805083142,359636.23354413756,27035.35485428677,126501.57273423109
2042,248165.8418030216,1150295.2997859567,358197.688609961,28175.939234800095,129949.47374383805
2043,331586.7441948836,1289134.615979096,356764.8978555212,30916.57647373972,133835.59597339062
2044,415514.47955759516,1344698.924784421,355337.8382640991,32745.574009222026,140678.47740250942
2045,500739.92868259206,1434756.8188764262,353916.4869110427,35969.583390543645,146761.82977644188
2046,587040.1312505823,1505044.2837613756,352500.82096339855,37506.44960840754,152515.64987508065
2047,673781.7120162653,1615028.6781199586,351090.81767954497,38793.672261951004,162686.38429350092
2048,761585.9793831765,1708055.5054456908,349686.4544088268,41611.10200167434,167730.26431550595
2049,850288.4055321842,1776289.2555386028,348287.70859119145,43568.36335852735,177287.42229524063
2050,939274.7115230545,1830960.5459044436,346894.5577568267,0,235645.46232965466
2051,1007949.1051941207,1901999.4596851298,345506.9795257994,0,248408.79874534725
2052,1076408.7788349371,2029332.285981958,344124.9516076962,0,263257.97912394576
2053,1145532.1862499663,2194889.411139589,342748.4518012654,0,279108.398435767
2054,1214975.3243696955,2342371.5649502613,341377.45799406036,0,296310.10179482587
2055,1285072.0010442408,2558372.2078476646,340011.9481620841,0,327479.27331250376
2056,1318136.1073098353,2712157.981158894,338651.9003694358,0,348742.586920417
2057,1388369.6358316105,2888661.860109659,337297.292767958,0,374688.6535655352
2058,1457735.7677538043,3067420.263843248,335948.1035968862,0,405274.6649594764
2059,1526325.8823569142,3210008.52443205,334604.31118249864,0,419976.2402897402
2060,1594519.1976436512,3454564.542325824,333265.89393776865,0,446767.1936237263
2061,1621503.3249354288,3656179.671775968,331932.83036201756,0,460197.5881490847
2062,1722640.6818977215,3962146.616458315,330605.0990405695,0,481782.61811219715
2063,1774706.423591871,4134742.326056267,329282.67864440725,0,515943.21883789153
2064,1877973.7353715515,4392105.699114226,327965.5479298296,0,561775.8123444682
