Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10194.766376470132,1992,10429.694985880602,2043.4184438860295
2026,100,10633.00785348883,1984.032,11395.68486156015,2138.1056687558557
2027,100,11364.831016704191,1976.0958719999999,12592.86471574473,2261.8732401957413
2028,100,9927.879722801632,4254.805595486414,13448.307184659632,2510.4368958790974
2029,1000,52295.260186087646,22412.254365466135,14296.307396865908,9700.662338613516
2030,1000,92443.8271769882,39618.78307585209,15445.537836028534,17120.10548240545
2031,1000,131560.23608283082,56382.958321213206,16372.37412217298,25227.12941074406
2032,1000,178942.26446375658,76689.54191303854,17393.087075964948,33377.2853157467
2033,1000,225559.9584592163,96668.55362537841,18516.626175077643,43034.63093003951
2034,1000,277040.93154288124,118731.82780409195,18811.197384604606,52039.35082097409
2035,1000,334254.8169528378,143252.06440835906,19887.469222749663,61712.009830086805
2036,71962.93013690342,343877.9944760811,147376.2833468919,19586.216945564724,65879.67180358777
2037,143632.96380610298,353693.61881606345,151582.97949259862,20690.80867578027,69121.54324603884
2038,215659.27515899655,360773.7236026529,154617.31011542268,22259.917648672956,72583.05154131462
2039,288357.40102260787,380160.78283400956,153998.840874961,23300.335496678505,79322.24251523269
2040,361664.1995553901,410927.68345363566,153382.84551146114,24986.048868528476,84064.28261276813
2041,435834.24423552887,436163.6342382619,152769.3141294153,26620.040930366922,86765.5799155323
2042,511043.8165142772,454640.0538751423,152158.23687289763,27525.008955566016,96079.60528218902
2043,587383.9147889726,476692.04019816284,151549.60392540603,29434.70961980315,101782.99405836558
2044,663931.8422398447,499820.4524814227,150943.4055097044,31985.48927854667,107301.32937010938
2045,741996.3588431798,542441.591363057,150339.6318876656,32967.606020676496,117270.4995140455
2046,820958.683525749,565795.8200568391,149738.27336011495,35170.47567030505,125328.74851762413
2047,900458.1524888186,603236.0738021452,149139.3202666745,36561.51255187647,132884.40689022333
2048,981079.5605950013,650146.9941465056,148542.7629856078,38977.561198886004,140832.71283733236
2049,1061894.4978222246,675061.3034499312,147948.5919336654,42869.44093578553,146399.22890925087
2050,1143915.3744153613,721924.0935065097,147356.79756593073,0,195963.69682913626
2051,1203730.480774639,773980.423339311,146767.370375667,0,207081.6836584394
2052,1263196.9293850872,845681.0566590402,146180.30089416433,0,221542.32176907116
2053,1322106.4153339725,883563.2265247571,145595.57969058768,0,233660.12075986376
2054,1380507.952596539,921467.5369407933,145013.1973718253,0,248334.6401642334
2055,1439189.9502184268,966220.1485790508,144433.14458233802,0,258963.78113631194
2056,1497392.3506212975,994367.7480298515,143855.41200400866,0,271054.3894773482
2057,1555159.734478394,1057887.4846885146,143279.99035599263,0,288305.96007319033
2058,1613340.1910570893,1116010.9392379455,142706.87039456866,0,301026.6676439098
2059,1671150.730936052,1149707.539492584,142136.04291299038,0,323043.1074662454
2060,1729314.573872064,1224577.333160197,141567.4987413384,0,334403.2558465728
2061,1787939.793260991,1308019.1929053515,141001.22874637306,0,359620.8793265091
2062,1881493.1965648576,1407833.7743176706,140437.22383138756,0,370837.3450904755
2063,1975319.4734470877,1544448.9666215465,139875.474936062,0,411318.59402390826
2064,2070310.1283767344,1647600.2956373673,139315.97303631777,0,434093.38736301934
2065,2166363.100110527,1768936.8316601312,138758.7091441725,0,450241.4501385557
2066,2262924.0638843775,1848534.6250613655,138203.6743075958,0,477285.3525919346
2067,2360878.1666515283,1928675.680900679,137650.8596103654,0,499991.9375932098
2068,2459230.9924284513,2051824.3792151322,137100.25617192395,0,529097.7615972297
2069,2558367.234837167,2197154.0420874283,136551.85514723626,0,559761.6058443153
2070,2543855.279049933,2356111.7056921,136005.64772664732,0,593065.3709149911
