Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,68640.15333208433,10576.235048676876,1992,10464.325261963282,2177.119759263778
2026,129300.11353843575,11239.76439491474,1984.032,11268.291390251732,2255.4949704528667
2027,191332.50052504014,11689.001060066137,1976.0958719999999,11798.766236657899,2453.628829312869
2028,255628.20627807826,9926.33776619703,4254.144756941584,12745.287829457111,2745.049085264742
2029,1000,229119.23581246426,98193.95820534183,13558.549004453274,9808.948907717591
2030,1000,278292.7713961362,119268.3305983441,14249.135170749241,17550.62057182636
2031,1000,332224.8961414807,142382.09834634888,15056.512887134193,25477.40327773885
2032,1000,386199.27325421694,165513.97425180726,15670.82752746738,34053.20981989556
2033,1000,442729.08800322213,189741.03771566664,17104.32820669736,43026.890922468025
2034,1000,505118.2405038894,216479.24593023834,17747.58028486617,52755.683559462734
2035,1000,568346.8294176413,243577.21260756056,19143.769716476785,64401.324214072636
2036,1000,638575.0534705947,273675.0229159692,20132.064193129565,75828.67875392034
2037,1000,706235.4814452983,302672.3491908421,21291.549828980744,86934.68192265769
2038,1000,783934.6333992515,335971.9857425364,22414.64690580561,99083.16618109621
2039,1000,885810.7547942556,334628.0977995662,23851.888273019442,113125.32504847337
2040,74334.2566404186,966447.4171811076,333289.585408368,25178.219384561296,117897.92668385833
2041,147957.80603977965,1029136.8569507498,331956.4270667345,26768.77912287169,124774.57346156941
2042,221624.5726661054,1073494.7365808166,330628.6013584676,28352.39660668943,131154.17378655437
2043,296142.41641553596,1092747.5981153103,329306.08695303375,29870.351599064918,141438.47114283967
2044,370990.9481587951,1134072.26626384,327988.8626052216,31041.42332558883,145376.69934436696
2045,446330.2096409545,1172993.665839953,326676.9071548007,32273.082967283204,152207.2016821976
2046,522506.6198517052,1225627.2906280688,325370.1995261815,32370.3742920874,164057.4804862242
2047,598967.0689278622,1295462.7117347403,324068.7187280768,34703.616545949466,176089.01500538064
2048,675132.4739319644,1348184.8951244843,322772.4438531645,37919.69341973,180204.0938142117
2049,751175.4160935846,1442533.2385527773,321481.35407775186,41078.8740566063,189708.026999631
2050,827790.7610793834,1563075.3162523005,320195.42866144085,0,242754.41988979623
2051,883237.4495498189,1651699.2435308655,318914.6469467951,0,250092.60536337405
2052,937653.751517457,1728790.4967410606,317638.9883590079,0,266428.9835425662
2053,991901.0116052782,1860701.062476765,316368.4324055719,0,289071.8894562033
2054,1044670.8723574228,1941637.7524387958,315102.95867594966,0,308643.2777958248
2055,1095897.6454990879,2123659.846022706,313842.54684124584,0,319786.3450747766
2056,1145681.3315967503,2318557.676980358,312587.17665388086,0,331217.49413294496
2057,1194698.693773357,2453873.2284643953,311336.82794726535,0,341183.24773532216
2058,1242946.8973916767,2581391.8209583825,310091.4806354763,0,360496.96862924035
2059,1289859.8942732706,2831561.4286022643,308851.1147129344,0,384698.8449149978
2060,1294834.5407654478,3008875.007543093,307615.7102540827,0,412868.154657315
2061,1340183.6889169624,3116923.702904762,306385.24741306633,0,444919.1391195998
2062,1416054.0157656518,3308717.400818255,305159.70642341406,0,471170.32007863646
2063,1491769.6607599556,3519601.3519786783,303939.0675977204,0,498686.8844095225
2064,1567142.6940829528,3686433.6860179133,302723.31132732955,0,528574.7382501577
