Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,68661.59996741389,10470.447094195886,1992,10847.659443950155,2171.1094101094
2026,1000,133600.52099325875,1984.032,11904.679206646646,9298.058045629756
2027,1000,141838.31369040185,60787.84872445794,12565.997239278267,16970.719390879836
2028,1000,188583.804686402,80821.63057988657,13704.07729958381,24759.256533190986
2029,1000,232248.18711797052,99534.93733627308,14417.963266239118,32371.063777916166
2030,1000,277346.0989940049,118862.61385457353,15616.857948582081,40379.589591803946
2031,1000,326487.2099146571,139923.08996342449,16356.535275949704,50134.79682942103
2032,1000,378227.4111406694,162097.46191742975,16878.14167994245,61812.07457993505
2033,1000,440034.18577055924,188586.07961595396,17613.603105320086,71501.12366903643
2034,1000,499637.37507932645,214130.3036054256,18363.603157679063,81670.02539148723
2035,1000,567562.5992514564,243241.1139649099,19105.61597205109,92969.5506744418
2036,1000,632982.1732398303,271278.07424564153,20489.191055289964,106700.57703264618
2037,71669.22911279598,664015.7292280768,284578.16966917575,22366.550939169672,109458.55919571122
2038,143137.52237393448,728715.7620264905,283439.8569904991,24192.109690743182,118985.25413917167
2039,214713.11238021392,773275.9995915134,282306.09756253706,25325.194394403243,129269.97698900504
2040,286962.35092525795,815061.5107798208,281176.8731722869,26665.226977749422,134201.12421443406
2041,360210.255199451,854912.4406242657,280052.16567959776,28440.610779206952,139292.1831656532
2042,433551.84332363115,903133.20811903,278931.95701687934,29344.304998686115,149509.1136503282
2043,507629.6276144378,957330.6362438126,277816.22918881185,30360.43668809729,160385.41015272742
2044,581288.2297841425,1025683.111186567,276704.9642720566,32266.936791600117,171282.42099031474
2045,656016.8020464382,1068107.2200290947,275598.1444149684,34302.576808563455,180689.09924957014
2046,730468.598324889,1164842.8652736957,274495.7518373085,36199.11965007023,185218.8867945601
2047,805581.8309612608,1223789.7143858748,273397.76882995927,39425.46890200339,196794.65965697405
2048,881005.7039146416,1293809.8212749748,272304.1777546394,41607.56010918496,200613.5991239078
2049,956574.5758369762,1340552.0970859407,271214.96104362083,44194.925023951684,213729.33238452353
2050,1032291.7554011118,1486857.2621090107,270130.10119944636,0,280653.32341457356
2051,1087852.2750836972,1515101.9078526641,269049.58079464856,0,294842.8204687716
2052,1142245.069395103,1607451.7938873968,267973.38247147,0,309899.5147961736
2053,1196257.2944953435,1729623.8161579852,266901.48894158413,0,322240.11417592556
2054,1248693.956251052,1838120.016642703,265833.8829858178,0,342992.77554350323
2055,1300355.4610838224,1888925.405564976,264770.54745387455,0,357414.79098979785
2056,1349871.2585403658,2056935.1479709847,263711.465264059,0,373491.45129025425
2057,1398349.5508584871,2294259.850199552,262656.6194030028,0,396043.2028891669
2058,1406977.9116450744,2434220.829581331,261605.99292539078,0,414788.7113370439
2059,1452768.9820703533,2519686.1808191137,260559.56895368922,0,431150.15255386755
2060,1496578.968176367,2644936.5577771957,259517.33067787447,0,463782.95059598243
2061,1538294.111971741,2774140.274490403,258479.26135516298,0,496694.8678671511
2062,1609955.6446642124,2932896.3394763777,257445.34430974233,0,529028.5583240535
2063,1680684.0802385989,3163799.397712483,256415.56293250335,0,569083.8169278019
2064,1750832.1251918166,3383751.118025892,255389.90068077334,0,608313.5150330059
