Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10538.903193180948,1992,10561.464052015364,2134.5939726646916
2026,100,9342.565717520782,4003.956736080335,11048.987220168616,2324.2259388134485
2027,100,9819.056964253601,4208.1672703944005,11830.431729954373,2458.3323533236608
2028,68614.97356104078,10347.792836257739,4434.768358396174,12485.644685983982,2638.202625072819
2029,1000,96119.66789478791,41194.143383480536,13271.431886454804,9924.16093508331
2030,1000,136355.00254833067,58437.85823499886,14160.978670383865,17768.532598065965
2031,1000,181693.7731355464,77868.75991523417,15105.812528297725,25879.51393470825
2032,1000,232948.1770887512,99834.93303803624,16201.332457174,34097.49675564781
2033,1000,282710.2585026705,121161.53935828735,17201.192521949244,42982.23712809621
2034,1000,340468.1857541252,145914.93675176793,17832.54464234225,52219.79681067572
2035,1000,403541.38845853606,172946.3093393726,18246.15503374748,61250.7470847979
2036,1000,461579.1922039513,197819.65380169344,19031.145232269206,69652.06725124153
2037,1000,555795.2703630369,197028.37518648666,20116.677452108328,82033.4967289803
2038,1000,661809.1884910506,196240.26168574073,21753.564856868015,91128.72813189156
2039,1000,755018.11886343,195455.30063899775,23492.534884979843,103148.68005764869
2040,77546.07328691303,771974.9715145967,194673.47943644176,24676.295125268567,107749.76857981119
2041,154794.55594405654,822047.1688525034,193894.785518696,26534.98049508973,119530.28102748017
2042,232442.92025357427,876175.8888160377,193119.20637662124,27520.942021315936,125467.19738552732
2043,311212.4691263436,936635.0666727981,192346.72955111475,28498.903537570317,127808.7752310606
2044,390751.55469172617,946635.4038023545,191577.3426329103,30520.582828888982,137837.03509643523
2045,471123.59988698567,1019743.2546421685,190811.03326237865,31618.9587664982,144231.69762181392
2046,552375.0847880988,1061418.4180996404,190047.78912932915,33057.60727539524,155158.3016608151
2047,634975.6528856931,1136795.1404682563,189287.59797281184,34683.5926871314,167715.86570336577
2048,717772.4361333644,1139791.3579520534,188530.4475809206,36825.69540298593,175962.45447721158
2049,802122.3155203373,1235252.6683082047,187776.32579059692,39088.475027318025,186880.35546319274
2050,887034.8012020326,1287333.3094352097,187025.22048743453,0,248993.46258364117
2051,951450.9013767703,1357584.1064382966,186277.1196054848,0,268705.0077077592
2052,1015685.0445713125,1470981.433935587,185532.01112706287,0,280076.935480796
2053,1079508.0482403804,1585582.0166985278,184789.88308255462,0,297996.14028195955
2054,1143550.8059710432,1604608.3010329718,184050.7235502244,0,318055.49454725266
2055,1207798.7831039424,1755226.3477963936,183314.5206560235,0,331830.1297272531
2056,1271972.876490689,1869674.4973943438,182581.2625733994,0,349606.50419681234
2057,1336581.2423756032,2029324.736041995,181850.93752310582,0,367944.33645902196
2058,1401530.9957247481,2088898.6337196887,181123.5337730134,0,384633.70508993685
2059,1466214.8308318243,2172806.5360439355,180399.03963792135,0,409330.72525738925
2060,1530994.7437827266,2300093.9576979578,179677.44347936966,0,428718.6418498942
2061,1595664.078846452,2442397.9641250717,178958.73370545218,0,442226.01390479796
2062,1693090.153868487,2592313.8758588987,178242.89877063036,0,474849.8232619588
2063,1791313.341812004,2777735.9468258414,177529.92717554784,0,512240.74189314124
2064,1889924.3198700056,3021821.319356677,176819.80746684564,0,552568.0684946626
