Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10687.042201903221,1992,10398.558845162246,2080.6592046734168
2026,68839.54826938256,9236.943406165738,3958.6900312138873,10703.84711728146,2192.068635930365
2027,1000,95625.83602130556,40982.5011519881,11253.882362212526,9369.575380887007
2028,1000,143231.53581767614,61384.9439218612,12164.365567146666,16953.905799025404
2029,1000,190937.14272520904,81830.20402508958,12894.270148708676,25290.611998996414
2030,1000,241251.32785710308,103393.42622447274,13728.638891184071,33902.71684183361
2031,1000,297766.1259971772,127614.05399879024,14411.283239269766,43176.98922357383
2032,1000,354934.60199186177,152114.82942508362,15350.835249952512,52219.409731263055
2033,1000,420710.41451733717,180304.46336457308,16384.330229240586,61846.24610543769
2034,1000,480853.0434682818,206079.87577212078,17267.13387630905,73737.28432072423
2035,1000,538641.0156723413,230846.1495738606,18297.647719825756,85926.41800871483
2036,1000,597333.5126897533,256000.07686703716,19754.293733464354,99504.52339446341
2037,1000,690157.7711418091,254976.07655956902,20680.213723937617,111067.85776929418
2038,78418.0607652446,734906.4142436419,253956.17225333073,21748.61724861942,118800.2052863683
2039,157010.97815507525,778894.1592556131,252940.3475643174,23266.06447061591,128766.25017860616
2040,236330.26831923152,831356.8236653792,251928.58617406012,24507.057912308508,137072.8187659102
2041,316927.15460569225,849045.122257036,250920.8718293639,25565.640831197685,142842.49883694228
2042,398250.8625898554,899067.8224396483,249917.18834204643,27040.249149819712,146653.91239837723
2043,480742.0325045705,953768.654079474,248917.51958867823,28887.327156140855,156172.29243516494
2044,564129.6265821876,1017855.5588540145,247921.84951032352,30555.500101036432,165433.91717562135
2045,649106.0661346357,1079497.4582214225,246930.1621122822,32434.857437348815,173590.0432038089
2046,734616.335104081,1143856.6292123995,245942.4414638331,34850.70605345721,187161.98262847308
2047,821701.5693386622,1201305.6336704602,244958.67169797776,37917.55738845617,202522.4344880168
2048,908881.882322374,1242262.3959547349,243978.83701118585,41646.218815605345,219153.9228650672
2049,997295.7195783115,1334253.179235831,243002.9216631411,43233.2144720974,226955.07071223366
2050,1085933.2648233096,1425107.3215240282,242030.90997648853,0,285919.31682822964
2051,1154799.2159388915,1518670.5256902645,241062.7863365826,0,300484.4203240383
2052,1223141.4536969087,1585520.0307163987,240098.53519123627,0,312513.8149709878
2053,1291185.64954406,1638220.9014664863,239138.1410504713,0,326581.9558148422
2054,1359838.5110857438,1691712.4942651808,238181.58848626944,0,346025.49388964876
2055,1427900.8815341073,1847166.462769597,237228.86213232437,0,364877.92350517877
2056,1496154.07815729,1981833.2012733482,236279.94668379507,0,386559.2004749596
2057,1564251.9073648835,2110748.543118156,235334.8268970599,0,406497.1848410923
2058,1631711.4195644716,2234481.6023511523,234393.48758947165,0,430154.6720809783
2059,1698816.7682202507,2398242.8819019254,233455.91363911377,0,468546.26508729416
2060,1765655.3874696235,2557227.1762170424,232522.08998455733,0,486889.560169572
2061,1832802.595000483,2724735.7106123157,231592.0016246191,0,510217.7269730358
2062,1932125.3308808992,2847332.841247525,230665.63361812063,0,531881.8604216136
2063,2032441.7877097933,3068180.7028693696,229742.97108364815,0,567252.4299159015
2064,2133002.082578895,3273857.5895355684,228823.99919931355,0,598460.2056516499
2065,2235016.8189824363,3542840.2855613776,227908.7032025163,0,630771.9329830939
2066,2338308.3063843017,3712217.238338198,226997.06838970626,0,672279.2403264245
2067,2323113.548863138,3874263.614357752,226089.08011614744,0,696157.1128556714
2068,2323113.548863138,4085054.4899612456,225184.72379568286,0,730801.9502460583
2069,2323113.548863138,4265849.504057066,224283.98490050013,0,760625.6992221838
2070,2323113.548863138,4588011.8916940335,223386.84896089812,0,794341.7301493095
