Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10594.130841109929,1992,10460.501986780471,2058.751822206781
2026,100,10948.178975526771,1984.032,11011.668608142987,2259.3611217339376
2027,1000,52451.06871239349,22479.029448168636,11983.933189038353,9329.95620092943
2028,1000,91799.07810542628,39342.46204518269,12929.71157221696,17081.096812421256
2029,1000,136250.74958880612,58393.17839520262,13237.962839804482,24610.17306281847
2030,1000,180570.06909881192,77387.1724709194,13583.940119747103,33561.83940254807
2031,1000,230208.8707976668,98660.9446275715,14116.675971007673,43468.083107317616
2032,1000,281081.92391297355,120463.68167698866,14739.130832833087,53397.4781384395
2033,1000,327730.852465528,140456.07962808342,15829.67977860436,64536.43491977144
2034,1000,380747.5498566148,163177.52136712064,16715.739871190442,76691.98009684449
2035,1000,435654.82019229035,186709.20865383872,17916.014843953206,89221.20619081252
2036,1000,504923.8278862068,216395.92623694576,18922.246332455754,100091.64244722872
2037,69625.53089922387,527671.7142793984,226145.02040545648,20279.986046694426,106041.2358277751
2038,139397.08344520352,553485.1678528147,225240.44032383466,22256.01719267021,111173.30900652401
2039,209888.56914903707,618433.4350780817,224339.47856253933,23616.95030958084,109944.21978763615
2040,281174.43579354277,686074.1887770329,223442.12064828916,24893.139331244514,115167.77246632327
2041,352966.6750465864,715001.9113298393,222548.352165696,26110.243483479964,123855.3047532487
2042,425339.7389729827,770401.2848048417,221658.15875703323,27582.974397688202,128699.74037153707
2043,497881.0756991138,811508.3547586012,220771.5261220051,29238.241039361063,138849.4965848991
2044,570824.5301511579,843193.9818047725,219888.44001751707,31325.82297014987,150806.3186815566
2045,644044.763497225,922799.4762514338,219008.886257447,32621.515673649654,161305.73928583667
2046,717924.6475930907,988139.4370777558,218132.85071241722,35575.96004812117,164901.40670444883
2047,792079.9781965791,1043450.8123579759,217260.31930956754,37376.28077076626,174504.07912403508
2048,865904.4829824818,1133846.188890888,216391.27803232925,39514.79455619988,187154.4405628812
2049,939352.4441094656,1179700.2023863131,215525.71292019993,40942.37022875075,190359.48123645352
2050,1012179.0133803461,1267035.641023098,214663.61006851913,0,247964.40481061774
2051,1064662.6788381352,1302512.2613017494,213804.95562824505,0,259463.66656019748
2052,1116768.8176204266,1347445.6003375442,212949.73580573208,0,278039.07548644993
2053,1167874.6410299828,1397208.7579665934,212097.93686250914,0,296478.90639012575
2054,1218823.8620571755,1451875.4964589323,211249.5451150591,0,314517.1943661589
2055,1268857.6474256583,1549555.2307837352,210404.54693459885,0,337152.423002359
2056,1318053.997707118,1680464.206130628,209562.92874686045,0,360900.76153150405
2057,1366148.333945915,1735459.8336954764,208724.677031873,0,383865.6029604909
2058,1412413.6886205554,1860463.8610477769,207889.7783237455,0,408280.2815261289
2059,1457851.8878102947,1928638.5600663126,207058.2192104505,0,429773.22106227424
2060,1502642.2028028867,2095404.6219469504,206229.98633360871,0,440527.143693207
2061,1545516.414402064,2152435.696211951,205405.06638827428,0,456812.93530858896
2062,1618836.782623624,2375331.1838735044,204583.4461227212,0,485105.1211607281
2063,1693027.7306240592,2518851.596472697,203765.1123382303,0,524781.8487754541
2064,1767443.7767579092,2661317.0276976726,202950.05188887738,0,583529.1046034971
2065,1841265.62762951,2878469.63137278,202138.25168132188,0,623511.2010274513
2066,1913598.4530761822,3079863.2840951364,201329.69867459658,0,663230.0029792429
2067,1985695.452169726,3223714.2080770796,200524.3798798982,0,717952.7343583909
2068,1930594.3296781243,3382935.4840083364,199722.2823603786,0,770895.0820258992
2069,1889686.255631569,3701641.456816697,198923.39323093707,0,787487.9163895068
2070,1846182.105247389,3924380.9823057996,198127.69965801333,0,858129.2709912653
2071,1800352.8517624114,4245711.959083677,197335.18885938128,0,909157.7253773666
