Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10690.452504287741,1992,10773.287913299084,2100.879119659435
2026,69058.95205765913,11407.478412130411,1984.032,11577.055083200506,2163.0137621635317
2027,131500.07934808065,11903.317976714343,1976.0958719999999,12083.822347447054,2285.8217841695337
2028,1000,140552.4294544386,60236.75548047369,12904.061948531851,9452.713525836321
2029,1000,184088.77544053568,78895.1894745153,13875.904820536956,17084.730964543836
2030,1000,230159.29629221928,98639.69841095112,15390.176805952387,24976.5952111495
2031,1000,283450.75007892033,121478.89289096586,16644.57423761145,33572.656617052024
2032,1000,343463.5267060049,147198.65430257356,17495.142394716342,43127.15229598475
2033,1000,394777.63078463206,169190.41319341373,18619.715488658938,52378.646859419365
2034,1000,454388.6028313733,194737.97264201712,19682.87788764329,62018.16750879947
2035,1000,512375.133560285,219589.34295440785,20514.94438404597,72703.89259094023
2036,1000,575566.9343967213,246671.5433128806,21282.258731887956,85151.11518342611
2037,1000,646015.1765123975,276863.6470767418,22009.010760581055,99188.32547020484
2038,1000,700508.9975123353,300218.14179100085,23393.608285564293,112453.83227653858
2039,80011.00699593136,751988.8694262024,299017.26922383683,24815.639620922033,120161.84343127189
2040,160363.93126622727,821021.1364200904,297821.20014694147,26818.831850107672,127213.37245240768
2041,241363.9181092946,876831.143992994,296629.9153463537,28103.058647415124,134078.83004586375
2042,324071.1356416408,919805.0105072436,295443.39568496833,30128.299009928614,147148.43717907148
2043,407817.38672121026,987657.406715117,294261.62210222846,31508.630190556396,155311.29546742505
2044,492185.8751258572,1043343.5729708726,293084.5756138195,32792.05558479426,168081.10934175074
2045,578186.2029979575,1115203.7655239736,291912.23731136427,34338.211786011045,177463.91248125085
2046,665652.7002526274,1164307.8919893703,290744.5883621188,35562.05206268517,190852.19235046566
2047,754477.4448465967,1284929.9882584566,289581.6100086703,37300.467984417955,208595.123316834
2048,844832.5804289548,1382217.1618474908,288423.28356863564,38277.169338854255,219983.10870208405
2049,936429.6509527557,1447163.2075886566,287269.5904343611,41222.592818689394,223424.6475742003
2050,1029550.0574900287,1473752.2404399177,286120.51207262365,0,272999.4996798818
2051,1103436.9194911448,1529085.4947665776,284976.03002433316,0,282643.96337791067
2052,1177108.1842787312,1606559.7009644897,283836.1259042358,0,294464.14214624045
2053,1250569.2997267996,1690854.3200050364,282700.78140061884,0,311468.8293705766
2054,1323833.1103910632,1799853.328626712,281569.97827501636,0,329651.3387995484
2055,1397038.6770101106,1860564.0724294838,280443.6983619163,0,342657.97059006203
2056,1470240.2359107647,1947805.550388286,279321.9235684686,0,361544.49896362994
2057,1543667.8747026639,2078989.5420277845,278204.63587419473,0,378529.0712902307
2058,1616742.3991947693,2231708.630425115,277091.81733069796,0,406974.6324424289
2059,1689762.772896411,2262009.4419972436,275983.45006137516,0,425595.6678413746
2060,1762639.7558403462,2381782.945580525,274879.51626112964,0,456659.98002260044
2061,1834615.5876228537,2537513.4433344263,273779.9981960851,0,491224.03948275844
2062,1938118.7666813156,2679075.4211116824,272684.87820330076,0,528541.914345453
2063,2042400.958340634,2834287.21009882,271594.13869048754,0,572373.8683573757
2064,2148230.83538441,2965123.575443717,270507.7621357256,0,608430.1284938393
2065,2255250.5475308206,3177928.994636451,269425.7310871827,0,649569.0429273417
2066,2362956.059306184,3343629.79039255,268348.028162834,0,676387.5788861901
2067,2346821.5688204225,3560231.5027956557,267274.6360501827,0,726272.4421197705
2068,2346821.5688204225,3774780.314670068,266205.537505982,0,746577.4395918313
2069,2346821.5688204225,4029356.8969478733,265140.71535595803,0,797744.3662067826
2070,2346821.5688204225,4286476.992952276,264080.1524945342,0,855398.6055308674
