Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10375.56919925236,1992,10724.448013844678,2032.0022909973634
2026,68845.33438518184,9283.38330412844,3978.5928446264743,11132.806896357202,2120.777682618394
2027,129823.9807409316,9756.526818476385,4181.3686364898795,12064.874036747935,2169.3807888126976
2028,191743.7231230761,10242.619399887953,4389.694028523409,12750.041357377497,2436.9241306218187
2029,1000,187265.4183220365,80256.60785230137,13637.442931094434,9501.916358435186
2030,1000,239666.10978853542,102714.04705222948,14148.856799373438,17012.801888207043
2031,1000,297418.9673253248,127465.27171085347,14887.755361588683,25454.121472678984
2032,1000,360006.62638058927,154288.5541631097,15652.525975917184,34144.21000706604
2033,1000,422147.5091739989,180920.36107457094,16412.98556083033,42936.27868966339
2034,1000,484626.70826104947,207697.16068330692,17881.111020151122,51291.90932530319
2035,1000,552158.561677375,236639.38357601786,18890.125015881484,62532.20227556716
2036,1000,611695.4310143607,262155.18472044036,20643.50668811186,72427.5570828008
2037,1000,719174.175974758,261106.5639815586,21400.047581556337,86163.34342001476
2038,1000,818495.3562348557,260062.13772563238,22616.63671534695,98570.10583867106
2039,1000,923028.2700567248,259021.88917472985,23241.27808641982,114525.65988466136
2040,79463.8836887981,987680.7797728973,257985.80161803094,23627.574796406552,118576.87965342554
2041,158579.6365192312,1073566.677078971,256953.85841155882,24905.190584175794,125931.72127674567
2042,238153.7560065277,1131672.7378411312,255926.04297791258,26899.241698702008,132103.97633032466
2043,319330.6966420858,1183204.3310009835,254902.33880600095,28582.938064009595,144253.4828318028
2044,401852.3953722282,1257456.832043275,253882.72945077694,29388.272230584404,150869.00642037852
2045,485890.26777767116,1279302.004671883,252867.19853297382,31107.077613358473,161656.19803543828
2046,570878.7139257092,1357203.0485793015,251855.72973884194,32953.26125614817,173141.01136260878
2047,656563.7270306702,1461479.099103098,250848.30681988658,35625.168812627,183955.7980634001
2048,743533.8059971862,1577118.0928105926,249844.91359260704,36199.828476660165,192530.77827570905
2049,830685.3142116228,1725015.359466301,248845.53393823662,37405.59932328489,203950.28236398552
2050,918464.0567708449,1779650.682745752,247850.15180248368,0,253341.2967484397
2051,985476.9472148328,1915431.1750497422,246858.75119527374,0,273668.1777623825
2052,1051992.0824861072,1969315.7188401674,245871.31619049265,0,291640.8027178429
2053,1118381.3840710556,2155778.7009210386,244887.83092573067,0,302094.080428675
2054,1184054.9621573293,2310595.461348663,243908.27960202773,0,321462.1253669392
2055,1249385.3757133952,2356827.322178944,242932.6464836196,0,338860.5706887845
2056,1314190.1676990632,2508650.422923521,241960.91589768513,0,367713.62134915235
2057,1379288.9148937399,2712142.6221687915,240993.0722340944,0,392730.1988178061
2058,1444667.7766449945,2933176.486941332,240029.09994515803,0,407140.4263310827
2059,1509186.3371033764,3146684.682325715,239068.98354537738,0,429372.91515397624
2060,1573210.6840447255,3320985.209484206,238112.7076111959,0,454922.70508364355
2061,1637535.850385705,3510132.1887445524,237160.2567807511,0,480787.8224401799
2062,1734661.6283289243,3714474.5606132685,236211.6157536281,0,491611.036563184
2063,1833349.4126551154,3890764.8401218713,235266.7692906136,0,528282.0745508844
2064,1932442.7773599254,4162281.53835308,234325.70221345115,0,560755.6798985173
2065,1986569.061511669,4388223.56130805,233388.39940459735,0,599662.9601765547
2066,2088243.2181324994,4569286.935226045,232454.84580697896,0,622831.436401864
2067,2073367.4733918232,4690657.425057172,231525.02642375106,0,662418.2856266513
2068,2073367.4733918232,5036599.671006404,230598.92631805607,0,708433.2321718369
2069,2013741.1199843544,5319455.269088593,229676.53061278386,0,732237.8553056824
2070,2013741.1199843544,5669500.428674934,228757.8244903327,0,788777.1965768862
