Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10687.042201903221,1992,10398.558845162246,2080.6592046734168
2026,100,9119.703621773218,3908.444409331379,10899.543067910297,2147.9836684131146
2027,100,9421.676918183664,4037.8615363644276,11715.579994801366,2258.36143354917
2028,100,9944.42710378418,4261.897330193221,12001.25948513966,2415.079243351511
2029,1000,52352.55553210915,22436.809513761065,13049.086311495266,9608.834497576714
2030,1000,93013.7899130385,39863.05281987365,13330.278823424696,17153.796773169437
2031,1000,132893.87647102465,56954.518487582,14126.702199812738,25302.94162583085
2032,1000,176596.4188270662,75684.17949731408,14960.471822330524,33892.55608855528
2033,1000,219973.8677164673,94274.51473562884,15828.46056623308,43578.961894630505
2034,1000,268668.89690050547,115143.81295735949,17261.075723663747,52031.888023815416
2035,1000,316810.6310053211,135775.9847165662,18277.61906627595,61831.83959387295
2036,1000,367946.7271344224,157691.45448618103,18999.027802772176,71731.54646850374
2037,1000,443058.84977967833,157060.6886682363,20342.76312700328,82437.41905284344
2038,63569.44656459506,461726.2529309542,156432.44591356337,21997.22462998095,87356.17659015516
2039,126552.59707371898,492825.971896424,155806.71612990912,23170.53916006497,92991.42706428387
2040,189333.13294327568,522325.2926675329,155183.48926538948,24331.519971685695,99176.85492653285
2041,252374.42622357607,540827.9622814356,154562.75530832793,24980.748919271315,104070.79275172815
2042,315478.742742287,577771.0920876261,153944.50428709463,26920.596748271822,110269.91752745784
2043,379859.00352413027,610537.7324200995,153328.72626994626,29077.566830304822,117955.16845792248
2044,444023.6501155002,640638.105884,152715.41136486648,30881.51704755248,126333.48243123348
2045,508763.227140907,672442.8024085824,152104.54971940702,32250.921261941414,133786.46892893515
2046,573052.332947104,693744.2774032771,151496.1315205294,35066.76957922066,141639.2358192214
2047,637828.3374294651,731830.7265792644,150890.14699444728,37957.394666689666,153788.93597596258
2048,703163.2086006564,758700.6351617484,150286.5864064695,40349.700135537554,160742.82415292875
2049,769321.5889448693,774893.2574893637,149685.44006084363,43437.37090289236,167818.4722605011
2050,834703.231200782,824888.9577404713,149086.69830060026,0,223111.6922582467
2051,878052.8257045685,859352.193505385,148490.35150739786,0,239066.88057218198
2052,921039.7104070646,920645.9235014947,147896.39010136828,0,252340.9474441302
2053,963492.6296983374,956590.6514576174,147304.8045409628,0,270764.0636433305
2054,1005004.6854226704,1018815.469751595,146715.58532279896,0,284581.0919306213
2055,1045806.2013272732,1089566.6776857988,146128.72298150777,0,299412.59903682454
2056,1084698.7768886373,1147050.3726328732,145544.20808958175,0,325783.90540789336
2057,1122986.3267609866,1218103.0293153157,144962.03125722343,0,341787.81761913
2058,1160995.6422401753,1300043.4614179665,144382.18313219454,0,354986.1586138562
2059,1198281.7108147123,1345944.6812880225,143804.65439966577,0,380256.56056648516
2060,1234295.9158017496,1482329.8569750173,143229.4357820671,0,408708.69864920777
2061,1269512.1643377428,1601783.0597131616,142656.51803893884,0,436341.3994173629
2062,1336557.9850206948,1733902.1135951364,142085.8919667831,0,462784.4618715835
2063,1403286.2415110606,1802539.2630991142,141517.54839891597,0,485565.1464641026
2064,1469129.2221618872,1943318.5151592642,140951.4782053203,0,507910.0596610592
2065,1534417.783630967,2021229.4468389866,140387.67229249902,0,547123.5751697543
2066,1599158.4286896766,2173463.5194981014,139826.12160332903,0,579137.1934417831
2067,1663678.5915533076,2423487.2210433967,139266.8171169157,0,604676.5410686682
