Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,8990.718857915877,3853.1652248210908,10557.491169937235,2159.113708449917
2026,100,9601.30659708629,4114.845684465553,11506.860214985392,2366.031404525887
2027,100,9794.757179712353,4197.75307701958,12129.371148230939,2500.1362284738093
2028,1000,53067.35976108849,22743.154183323637,12788.627938495138,9661.602362410536
2029,1000,93564.15310438389,40098.92275902167,13376.350780836468,17084.37939714058
2030,1000,142836.18167448163,61215.5064319207,13755.068120307891,25037.359528427074
2031,1000,191649.73502783017,82135.60072621294,14625.280534244626,33697.08654638419
2032,1000,245527.40130846182,105226.02913219792,15989.174709482144,42219.58484753861
2033,1000,297611.43396800087,127547.75741485752,16529.05644019105,51116.237444240876
2034,1000,355330.52111743233,152284.50905032814,17438.672796659208,63078.14157997716
2035,1000,421263.7614894953,180541.61206692655,18499.663305503796,72910.4563835302
2036,1000,505219.5849672686,179819.44561865885,19536.337675667637,85553.71733485664
2037,77401.12122335263,547625.6746100474,179100.1678361842,20987.46366510696,89842.56048294326
2038,155039.56252307337,588252.4926044774,178383.76716483946,21704.313381264117,94752.84880693226
2039,233450.88431044127,639267.5789624705,177670.23209618012,22952.718087768888,99752.29633693532
2040,313124.0941327264,703305.9260840801,176959.5511677954,24104.658061506358,104448.06282248072
2041,393646.40253101883,744935.5752899615,176251.7129631242,25756.822491596333,110265.83674797154
2042,474385.41935711395,776253.1590919152,175546.70611127172,27049.58923209916,118299.16417129702
2043,555862.4819513016,802021.3451257054,174844.51928682663,28654.54644176251,127488.5604946825
2044,637684.7782501676,847916.1846856578,174145.14120967934,30202.153976053447,134698.749678418
2045,721080.5238187092,888525.1767303003,173448.56064484062,32154.186118274967,140606.1302454648
2046,804660.1688710678,926934.2870728646,172754.76640226124,33941.06978689531,151915.11096676692
2047,889391.52476773,966862.8963489726,172063.7473366522,35345.90551754726,159865.4737678485
2048,975431.3265798494,1020106.6078717018,171375.49234730558,38942.70936563148,168831.51417045947
2049,1062202.5901260006,1098278.997402463,170689.99037791637,40964.28858228891,181908.3182689563
2050,1149814.8874137439,1169737.465552991,170007.2304164047,0,239969.95031384192
2051,1216344.2947816362,1261690.902089346,169327.20149473907,0,248686.43790212672
2052,1283442.421801959,1330034.131275355,168649.89268876013,0,265236.7971783243
2053,1350938.6909317889,1389316.7385388662,167975.2931180051,0,280640.0317395542
2054,1417984.7505518545,1437140.7810575273,167303.39194553308,0,294590.70349693607
2055,1484704.7856404425,1517248.083449183,166634.17837775094,0,314507.40439375734
2056,1551803.3396680648,1614795.2492751086,165967.64166423993,0,338033.2010322326
2057,1618609.2805110677,1771462.6918714147,165303.77109758297,0,360929.99614123814
2058,1685686.0860027303,1827935.9420726008,164642.55601319263,0,382898.63638590963
2059,1752048.8619646567,1951841.3415466715,163983.98578913987,0,400322.720801729
2060,1817991.507431858,2037392.1040899875,163328.0498459833,0,410906.4390971247
2061,1884404.147165557,2099629.848024044,162674.73764659936,0,441673.48464315466
2062,1983543.4340922579,2205149.4108970314,162024.03869601295,0,481480.0772933987
2063,2083952.6130704556,2359593.6807466075,161375.9425412289,0,500206.6172375514
2064,2185524.549909591,2391951.435840863,160730.438771064,0,521985.00760833477
2065,2288523.5265416424,2491623.7415101305,160087.51701597974,0,547533.0510473939
2066,2392474.1984337266,2638573.199600853,159447.16694791583,0,583565.7224342108
2067,2497914.5744641745,2708120.5437626927,158809.37828012416,0,615690.7333273533
2068,2604597.1904494325,2913214.9336418295,158174.14076700367,0,647971.5125044698
2069,2588702.0144825215,3123382.5463478905,157541.44420393565,0,685514.0916582427
2070,2588702.0144825215,3333822.98093317,156911.27842711992,0,739473.5716662316
