Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10817.70931274729,1992,10591.241693769263,2144.7385012284117
2026,100,11461.308646057825,1984.032,10891.973388597331,2258.582253885698
2027,100,12281.769037796865,1976.0958719999999,11545.878372553138,2440.422417638209
2028,100,10667.041853461207,4571.589365769089,11911.899231265708,2619.3214782630585
2029,1000,53808.338471958974,23060.71648798242,13093.994812945437,9815.29608169815
2030,1000,94215.98360409304,40378.278687468446,13874.83777902377,17304.003310559878
2031,1000,137012.33278788097,58719.57119480613,14528.051021802392,24871.719250589395
2032,1000,177766.99626906237,76185.85554388387,15731.485920332074,34065.29995890063
2033,1000,228694.30539689495,98011.84517009785,16544.29690932612,43503.15080198742
2034,1000,285446.6737686586,122334.28875799655,17543.95945107633,51562.86685785819
2035,1000,336673.00107759645,144288.42903325564,18819.425528387517,61719.49433935554
2036,1000,395790.9102071093,169624.67580304685,19486.598495291295,70854.86723080931
2037,1000,448775.885158369,192332.52221072957,20754.63470156623,82971.43180681205
2038,76424.31499231404,469472.21023265715,201202.37581399592,22088.224937414117,90004.31437648606
2039,153421.58742866447,490202.357000036,200397.56631073993,23540.32445415995,95441.53747593121
2040,231931.87443098676,530444.5480410887,199595.97604549697,23908.120224727467,99218.66750863976
2041,311391.20913285215,569692.0035750489,198797.592141315,24467.220409099584,105410.98968863924
2042,391949.28810908314,614636.8848588262,198002.40177274973,26481.6174024676,112334.72869422808
2043,473877.27992412966,649964.8014151617,197210.39216565873,28277.98433314699,117499.04362543463
2044,557276.4321285243,685795.9596612261,196421.5505969961,29858.26305680384,122337.94260222794
2045,641214.5787230864,727800.5571683382,195635.8643946081,31764.972589248806,135559.69929266293
2046,726644.9202379484,742922.1818881936,194853.32093702967,33415.381733068076,144944.44112013717
2047,812843.8010353142,752721.2268498829,194073.90765328155,35939.12613022749,154415.69615652357
2048,899622.7226467057,786575.8609496508,193297.6120226684,38635.61350325409,164727.1720556582
2049,987474.4489465834,814799.2914779481,192524.42157457775,41153.92697423941,176001.9830268642
2050,1076828.1400206115,842146.2047228445,191754.32388827944,0,232407.84299565156
2051,1145780.950900259,887385.2550402555,190987.30659272632,0,245998.725434183
2052,1215064.4598389124,952277.7671042221,190223.35736635543,0,261016.05549997007
2053,1283805.1543131396,1008516.5095372525,189462.46393689,0,273137.3471570246
2054,1353107.3074869383,1044331.8465038984,188704.61408114244,0,285284.26053896465
2055,1421894.1966814394,1103873.3956481917,187949.79562481787,0,299378.7724918214
2056,1491317.6714881558,1171721.4473307203,187197.9964423186,0,313727.96357707743
2057,1560696.9639887589,1230720.146442277,186449.20445654934,0,329652.4584064223
2058,1630533.2504516824,1313602.9475207839,185703.40763872315,0,345041.44296081
2059,1700326.0173731954,1374700.7723896294,184960.59400816826,0,364878.0491705153
2060,1769506.523051335,1375499.5638146328,184220.7516321356,0,386007.3766966098
2061,1838897.795704757,1450077.702979393,183483.86862560705,0,407623.9076533087
2062,1941426.2718762404,1525615.3277405554,182749.93315110463,0,428845.9304601504
2063,2044265.2143002346,1609727.438656079,182018.9334185002,0,446993.02639090235
2064,2147745.299267571,1714643.4848427116,181290.85768482622,0,469255.15499255125
