Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,8807.193622858558,3774.511552653668,10472.573152492041,2094.4973149712605
2026,100,8888.218879778844,3809.236662762362,11017.253943451076,2175.002683458182
2027,69382.1649605126,9255.427500238817,3966.611785816636,11655.30490285708,2323.122913065539
2028,131337.96265173538,9805.08266843048,4202.178286470205,12100.106929424554,2491.7072962501566
2029,1000,140309.5627103083,60132.66973298927,13112.181174164654,9728.423485707135
2030,1000,185816.4672974762,79635.62884177551,14000.058464155021,17094.409576357153
2031,1000,237168.3445639407,101643.57624168888,15011.969496051326,25599.474572840827
2032,1000,287716.3986860973,123307.02800832741,16449.78636552381,33258.28863408792
2033,1000,343728.13005871495,147312.05573944925,17276.54479297517,42204.46510432016
2034,1000,395646.1596880118,169562.63986629076,18005.358123928887,50918.461544497644
2035,1000,463201.4485724162,198514.90653103552,19884.16216453929,60104.72917802854
2036,1000,561049.5785820984,197720.8469049114,21388.411941613245,71072.89239033626
2037,1000,675910.1041120042,196929.96351729173,22368.74666546789,82729.00460865667
2038,1000,799496.3635551229,196142.24366322256,23740.06993405448,95075.10050534748
2039,1000,920950.2321207452,195357.67468856968,25019.41733222715,106489.54882114902
2040,82114.5193234431,968251.5106700311,194576.2439898154,26070.276116865214,109260.01450153138
2041,163804.97516038368,1030358.9223149064,193797.93901385614,27779.599451504866,115776.32523558856
2042,246162.14231152262,1113825.2657526731,193022.74725780071,29722.43656698552,121367.84429178851
2043,329598.1314319897,1184807.9439396143,192250.65626876953,32616.30107535267,130952.29217829909
2044,413328.0352255782,1244063.4948153927,191481.65364369444,34362.936203950754,136053.03366590384
2045,497993.1518741168,1344542.016917463,190715.72702911968,36916.92356361919,141383.0330016536
2046,583633.1922105424,1421790.1607799712,189952.8641210032,39405.48732650813,150709.90816803515
2047,670919.063232973,1539180.9422511451,189193.05266451917,41435.162282433674,160524.6671575498
2048,758866.6247454324,1667387.786321003,188436.2804538611,44383.865516664555,165939.06895186196
2049,847385.4423946682,1733502.5172743464,187682.53533204566,48840.182577597996,171915.35491223607
2050,937254.949988871,1778602.5992504936,186931.80519071748,0,228465.08997198235
2051,1007197.5736867578,1934962.8362885742,186184.0779699546,0,234335.8137853152
2052,1076872.5211233401,2106461.4865415227,185439.3416580748,0,246148.80854554454
2053,1146445.0115325043,2265189.918848559,184697.5842914425,0,254167.87140298914
2054,1216048.783572227,2452816.4504793896,183958.79395427674,0,274292.1301937194
2055,1286266.8642741058,2572045.4670548104,183222.95877845964,0,289234.91942848073
2056,1355797.329723435,2637447.53430104,182490.0669433458,0,303465.5722923147
2057,1424572.8834590386,2765237.3736394257,181760.1066755724,0,325331.947268857
2058,1493778.16349462,2925824.163849992,181033.0662488701,0,349775.1601801293
2059,1563033.2597195131,3009287.038959381,180308.93398387462,0,372482.3620537339
2060,1631437.3068382114,3085448.239134197,179587.69824793912,0,390677.6660166313
2061,1699453.6205229121,3205720.5695311483,178869.34745494736,0,398504.37939582794
2062,1800175.5609351902,3391631.068099464,178153.87006512756,0,422730.3509322675
2063,1902333.6036537637,3594606.7067341763,177441.25458486704,0,459895.90478265693
2064,2005680.3105139735,3787459.2513414416,176731.48956652757,0,484998.35581358033
