Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,9101.52719084008,3900.654510360034,10400.713538677675,2147.9001365345403
2026,100,9570.662934208449,4101.712686089335,10857.688465555046,2343.4403270082935
2027,100,9856.276984423099,4224.1187076098995,11692.04466114092,2443.754817643388
2028,1000,53114.193733772394,22763.225885902455,12187.496552068393,9628.45625217197
2029,1000,93795.7287487856,40198.169463765254,12946.560102833044,17220.18336695677
2030,1000,135203.4969885798,57944.35585224849,13704.94581032016,25552.659724640584
2031,1000,183526.15223878852,78654.06524519507,14146.873149016592,35161.449569399265
2032,1000,235659.39635004412,100996.8841500189,15380.547343581351,44217.23556770222
2033,1000,284819.9958840456,122065.71252173383,16446.596119127407,54360.38511706963
2034,1000,338083.1892236259,144892.79538155397,17412.76582881047,63591.070067842316
2035,1000,384384.26084864006,164736.1117922743,18502.912598438565,73756.69211097377
2036,66678.45517745214,397317.4999669918,164077.1673451052,19994.452265058986,78611.36133506568
2037,133536.39136224776,430410.7853195562,163420.8586757248,20758.658159147475,82452.90632364951
2038,201112.4262578597,456463.4187998941,162767.1752410219,21614.862646169186,89406.52775359676
2039,269715.94716111006,493355.1679831694,162116.1065400578,23097.788889799835,93616.83115165237
2040,338465.0794757184,545357.1057869619,161467.64211389757,23475.09694244803,104073.61347033521
2041,407053.7527777513,573120.4366378816,160821.77154544197,24901.40322804229,111062.88454655165
2042,475851.5353307968,622990.9533727982,160178.4844592602,26802.644676467655,116553.75653952795
2043,545631.5170089705,648734.4189326187,159537.77052142314,27773.417917749004,120145.48236641314
2044,616126.7607716909,692233.659169391,158899.61943933746,29012.350452199906,125091.14816850885
2045,686150.2689645981,728502.2970496607,158264.0209615801,29995.979633855182,134863.9373046749
2046,757309.1876888789,783299.164400639,157630.9648777338,29869.761116295118,144753.8596170369
2047,828851.6711676745,835001.3527974802,157000.44101822286,31202.725578575097,156290.8364000623
2048,900240.4168339829,863772.0050101926,156372.43925414997,33637.22082261587,170460.96911921064
2049,972454.0182623646,932017.1980612639,155746.94949713338,34994.72769850967,182000.7866390937
2050,1045496.240371648,982761.4229526178,155123.96169914486,0,228820.81386472945
2051,1097970.0631372712,1063642.612018495,154503.46585234828,0,244973.6717124437
2052,1149805.4951567003,1172923.3815801311,153885.45198893888,0,262987.94076652295
2053,1200528.9405321593,1225356.3061604782,153269.91018098313,0,277464.42616341275
2054,1250558.7681835836,1331827.9583183844,152656.8305402592,0,289709.3491363448
2055,1299637.143605166,1368124.1039241003,152046.20321809815,0,302710.70317864255
2056,1347630.8703215534,1437873.0726956308,151438.01840522577,0,318858.2570203634
2057,1394637.5072395713,1487877.6720141212,150832.26633160486,0,333634.23770424706
2058,1440230.0867710474,1585847.575055229,150228.93726627843,0,356436.79426685534
2059,1484134.0013725464,1673916.663132535,149628.02151721332,0,381080.7994831373
2060,1527166.8870045245,1826885.832655198,149029.50943114446,0,408939.9405803673
2061,1568053.966217065,1999546.5449473518,148433.39139341988,0,437576.8892099388
2062,1640083.4486758348,2116691.379590824,147839.6578278462,0,471456.04484714626
2063,1711761.5286078737,2263355.038640896,147248.29919653482,0,494232.6655360855
2064,1783302.4861066758,2393208.9219883955,146659.30599974867,0,518852.8251169401
