Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10706.334599913915,1992,10711.00022838924,2108.9367202566305
2026,100,11129.86879241127,1984.032,11635.365061009907,2275.062756112535
2027,100,11728.740494885573,1976.0958719999999,12183.5004885714,2306.006512211241
2028,1000,73449.67742717415,1968.191488512,12569.980002621183,9448.56032578417
2029,1000,93392.40562576015,40025.31669675435,13601.013560748479,16892.80850790719
2030,1000,139803.8047785449,59915.9163336621,14091.92014472779,24517.41849502361
2031,1000,192714.2312722401,82591.81340238862,15208.270957608955,32693.71812372949
2032,1000,245633.8758617738,105271.66108361735,16123.376821579432,43512.20370832662
2033,1000,301481.5410395644,129206.37473124189,17352.210897379984,53121.76636603879
2034,1000,354733.0941082203,152028.468903523,17836.040036366525,62457.663879376116
2035,1000,411601.049420881,176400.44975180615,18830.196844653467,70721.13863150391
2036,1000,473626.1113300927,202982.6191414683,20169.75587848005,83173.35444738054
2037,76435.9682404072,482375.8153808408,206732.49230607465,21429.270146745454,89335.47664277192
2038,152476.04454042096,516991.95958685275,221567.98268007976,23008.083884883963,96400.1271844753
2039,229958.1458217493,530541.4024365227,227374.8867585097,25007.6439243412,102009.73585985965
2040,307930.4407976359,563650.548895716,226465.38721147567,26403.83472679307,111448.99609643544
2041,386438.9294307743,611515.005800199,225559.52566262978,26963.717763871435,115381.94826528108
2042,466182.67992401373,642455.356538666,224657.28755997925,28524.544105285913,121136.65708604087
2043,547200.5235074799,689516.0540341622,223758.65840973932,30333.880565437084,128692.0609009513
2044,629214.9921289021,735870.7082770744,222863.62377610037,31800.11054555821,135431.24361493698
2045,712114.5722337282,784978.9882788399,221972.16928099596,33398.362832471765,146497.97884976573
2046,796079.5458742821,829140.6400452624,221084.28060387197,34818.19727411919,157324.3771787396
2047,881250.8364206092,865307.2555699865,220199.9434814565,37201.83752194781,168917.62661648434
2048,966761.2227980073,898929.2823528884,219319.14370753066,39107.9075125326,175695.66118637018
2049,1053582.333823361,887788.0912884852,218441.86713270054,40223.53884720112,184861.84450665346
2050,1141948.0825169221,945656.5900190315,217568.09966416974,0,240916.58267002768
2051,1210264.6066268089,1018323.9622505304,216697.82726551307,0,256478.66281434454
2052,1278323.3435153004,1043675.3372228135,215831.03595645103,0,268823.98715866084
2053,1346933.6213500293,1113535.4378676442,214967.71181262523,0,287239.2922697564
2054,1414946.8184664312,1157932.8671070593,214107.84096537472,0,310133.6428792572
2055,1483518.3189387966,1168102.3079634465,213251.4096015132,0,334419.2958391135
2056,1552746.5631407816,1249126.4792915115,212398.40396310715,0,359454.9487575785
2057,1622453.5784418145,1318613.1754250685,211548.8103472547,0,392148.91828179586
2058,1692769.8859194312,1407710.3322310369,210702.6151058657,0,419812.31723246543
2059,1762814.3902106343,1509688.8658845015,209859.80464544223,0,449446.1228037699
2060,1832414.267593345,1595895.654810929,209020.36542686046,0,471176.87889135536
2061,1901490.10750709,1688758.0031390835,208184.283965153,0,507354.15934466594
2062,2002360.8185340131,1773078.9569302327,207351.5468292924,0,540765.5718981791
2063,2104083.175114946,1908567.1766440747,206522.14064197525,0,591897.3771836594
2064,2207015.5934992656,2055889.2678876193,205696.05207940735,0,632605.5046702041
