Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10375.56919925236,1992,10724.448013844678,2032.0022909973634
2026,68845.33438518184,9283.38330412844,3978.5928446264743,11132.806896357202,2120.777682618394
2027,129823.9807409316,9756.526818476385,4181.3686364898795,12064.874036747935,2169.3807888126976
2028,193037.2213966619,10242.619399887953,4389.694028523409,12750.041357377497,2436.9241306218187
2029,1000,185161.79720028452,79355.05594297907,13672.530385751003,9612.851633273182
2030,1000,235492.89732804036,100925.52742630302,14407.655561131578,16995.40822620358
2031,1000,284295.3080663303,121840.84631414157,14808.349972301252,24930.088364736544
2032,1000,336525.3247975498,144225.13919894994,15240.3173490723,32389.52347616066
2033,1000,389993.3720263067,167140.01658270287,16510.02008159973,41180.99401718057
2034,1000,450544.1864393126,193090.36561684826,18029.152200842636,51903.33247637412
2035,1000,512487.3398076448,219637.4313461335,19106.384617021526,61950.29833676593
2036,1000,580317.3456652679,248707.4338565434,20481.021130394223,72691.57198799094
2037,1000,670414.8820023247,247712.6041211172,21631.689340563906,84656.82283129818
2038,1000,773045.1066006869,246721.75370463275,22586.683472458633,97586.51776935726
2039,1000,902585.8607985484,245734.86668981423,23787.348048801156,112003.90116174349
2040,72110.74038943184,913918.9910422283,244751.92722305498,25074.821962256672,124177.94120804596
2041,143309.40413977808,985505.3850139331,243772.91951416276,27067.374002029508,131950.57474936455
2042,214678.3174914806,1044340.1765719667,242797.8278361061,29314.22608112257,141075.56562029468
2043,287180.3128949955,1062482.979457005,241826.63652476168,31028.700793509823,151162.5224754934
2044,359721.0306263674,1129412.2769091586,240859.32997866263,32165.307124085655,163750.16170381047
2045,431864.3819686156,1179196.4344475784,239895.89265874797,34174.42635571534,171106.27962850765
2046,504516.79969867115,1198217.723312561,238936.30908811296,35150.540256544824,177360.25891584205
2047,576797.8458040645,1230896.2026610055,237980.5638517605,36597.25830112845,189015.73743432603
2048,648836.7904749044,1285908.2186556472,237028.64159635347,38614.3987589123,198719.92864166194
2049,721615.8430401756,1386768.8005077054,236080.52702996804,41260.678659304016,212468.29961541758
2050,794570.8310178764,1483892.4333072745,235136.20492184817,0,261688.23057473882
2051,846971.1852658526,1623545.4865275237,234195.66010216076,0,277906.7085399764
2052,897905.880703844,1652464.509493138,233258.87746175213,0,292345.8775118341
2053,947960.33928453,1722453.289972408,232325.8419519051,0,314952.35265519837
2054,997031.7077341828,1873596.8865978252,231396.5385840975,0,335812.456052298
2055,1045421.404769954,1971834.119359211,230470.9524297611,0,358838.7784933249
2056,1092410.7288584057,2071124.0231936185,229549.06862004206,0,376890.2854794373
2057,1137935.6553351453,2263922.870031749,228630.8723455619,0,395859.732344516
2058,1181702.7167768371,2395717.1570029124,227716.34885617965,0,405191.52108627
2059,1223181.0018646608,2507287.2685209904,226805.48346075494,0,427289.97082265187
2060,1263369.639145879,2630480.320125734,225898.26152691193,0,461901.0689199539
2061,1301048.1768505548,2796146.4283551956,224994.66848080428,0,489420.64591234794
2062,1369713.3860874097,2919457.657581433,224094.68980688107,0,535400.4431108782
2063,1437248.547715322,3051551.937254701,223198.31104765355,0,567913.5475763422
2064,1504849.621645228,3222927.1913293554,222305.51780346295,0,586945.8801591361
