Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10473.726911634552,1992,10588.079796331831,2160.0930771279936
2026,100,11140.087042157209,1984.032,11297.768719333706,2346.7188056202235
2027,100,11547.04817810984,1976.0958719999999,11755.327038423928,2496.272435690969
2028,100,10218.572794542057,4379.388340518025,12510.112972767292,2632.515979793819
2029,1000,53124.02476754583,22767.439186091073,13783.808938555274,9766.95745239365
2030,1000,93273.64945512201,39974.421195052295,14691.260169707693,17359.512820945736
2031,1000,135278.21916886457,57976.379643799104,15371.51836577154,24880.47918770962
2032,1000,184979.43696583604,79276.90155678688,15794.105407176492,33329.52621868567
2033,1000,237958.1971456775,101982.08449100464,16929.8724135852,42055.20836231284
2034,1000,295977.227493369,126847.38321144387,18069.482017438757,52420.820368726454
2035,1000,346619.0292388782,148551.01253094783,19550.32563192725,61864.820954449104
2036,1000,402976.06038462743,172704.02587912604,21354.619627313514,73721.58348896068
2037,1000,473062.91241811245,202741.24817919105,22747.70689801786,83528.76601956676
2038,1000,541185.0441676384,231936.44750041646,24619.491639272386,94624.31885975815
2039,1000,637259.485470164,231008.70171041478,26333.45330317516,109330.30526674772
2040,79200.84040214964,683587.1681270261,230084.66690357312,28690.75884419753,113384.96523346145
2041,158688.40919610002,728311.1580094775,229164.32823595882,30345.54424847559,118718.07566352747
2042,239525.80917087034,762078.4465805044,228247.670923015,32215.96455298253,124877.94920965191
2043,321484.67089450115,800917.8493778086,227334.68023932292,34566.697500569055,134882.99192423996
2044,404959.74149799306,890472.4287807863,226425.34151836563,36853.99555042214,137192.13542460688
2045,489365.7482049469,925819.8068509183,225519.64015229218,39804.440569396924,148701.96894200484
2046,575255.6830028506,972198.8785169872,224617.561591683,42206.497049088306,156354.3126710523
2047,661671.9173759746,1017817.736467759,223719.0913453163,44971.63224542718,166720.82957922315
2048,748670.8117726984,1061530.8868501994,222824.21497993503,49129.68919491141,177045.72184963172
2049,837105.4448346501,1132841.54950109,221932.9181200153,51598.521125934385,190657.11595812906
2050,925903.894522918,1211196.6337483944,221045.18644753523,0,252258.516329877
2051,994075.5293080176,1290976.5724599333,220161.0057017451,0,264349.5034262326
2052,1062234.417578081,1354775.280164287,219280.36167893812,0,274226.06136286736
2053,1130150.7529461754,1476548.7688724066,218403.24023222236,0,296504.56034364004
2054,1197539.3121713882,1545723.386967621,217529.6272712935,0,314019.1943383336
2055,1264587.2932419658,1647955.7611367241,216659.5087622083,0,334429.35531996127
2056,1332148.197781046,1778281.777369837,215792.87072715946,0,356589.39827235474
2057,1398936.2325793225,1833421.5139407038,214929.69924425083,0,381194.9084574118
2058,1465958.9764190568,1944733.417668312,214069.98044727382,0,414055.8309663913
2059,1532854.099761749,2014633.2095323224,213213.70052548472,0,427047.70256958815
2060,1599588.6307389208,2107145.6186475637,212360.84572338278,0,455354.24128838984
2061,1666305.977972772,2254239.5169289927,211511.40234048924,0,474582.649934186
2062,1765990.908567182,2323464.866223234,210665.35673112728,0,499627.1076374644
2063,1867090.4500158376,2491361.2605797057,209822.69530420276,0,531369.4903572387
2064,1969566.9941167994,2677992.3387353276,208983.40452298595,0,568617.2695247001
