Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10706.334599913915,1992,10711.00022838924,2108.9367202566305
2026,100,11129.86879241127,1984.032,11635.365061009907,2275.062756112535
2027,1000,72839.35531699166,1976.0958719999999,11992.006157981055,9367.529890642134
2028,1000,131151.32459831226,1968.191488512,13197.139162888401,16893.200069808627
2029,1000,138755.28749487057,59466.55178351596,13890.827875315084,25167.56601373253
2030,1000,185784.24351738614,79621.81865030834,14329.794564949714,33513.07634757996
2031,1000,235499.7085788905,100928.44653381023,15033.496603674406,42931.97563865998
2032,1000,290646.6240938459,124562.83889736253,16269.698540949881,53237.122315330525
2033,1000,350313.47068965796,150134.34458128197,17632.39928515017,64677.98455881858
2034,1000,406514.34299022006,174220.43271009432,18475.780943268852,75462.54195741519
2035,1000,469188.08808115654,201080.60917763854,19840.00772230765,88091.77291768318
2036,1000,541192.6133056917,231939.69141672502,20933.43859526071,100279.30924555458
2037,77095.75035563171,564318.9012921337,241850.95769662876,21713.01485356716,105517.8156517206
2038,153564.82864748916,590096.3987123886,252898.45659102369,22462.707062929654,114160.10513363792
2039,231158.18585980445,608150.9502624623,260636.12154105527,23870.61768361357,117185.21041331823
2040,310065.2591287386,647180.8954453114,259593.57705489104,25297.921573321146,123349.8766020298
2041,389492.7046700736,666638.371885885,258555.20274667148,27318.057369727212,128827.17231204326
2042,470152.69141257444,702019.4591452146,257520.9819356848,28752.114423166564,139031.39970380632
2043,551835.2866115177,729006.839874206,256490.89800794207,30670.10914010674,147378.30891358168
2044,633932.408124597,758538.9572735619,255464.9344159103,31453.477480247475,156034.46669180124
2045,717197.4075167305,808606.4174677856,254443.07467824666,33162.08755545941,164402.56526876017
2046,801265.4303576298,852866.7052580082,253425.30237953368,34780.15235617968,176438.3608859615
2047,886154.637142646,897052.9650159064,252411.60117001555,36844.66070923651,186897.4072034244
2048,972030.4633433897,926553.0469265761,251401.95476533548,38709.90990382912,192934.51262642827
2049,1058078.8130336069,937965.1749842485,250396.34694627413,40808.01955467318,209369.87899914436
2050,1145808.5910234577,987359.6469371213,249394.76155848903,0,260800.61947304927
2051,1213083.6520669863,994983.1845405777,248397.18251225507,0,274308.83779879054
2052,1280059.2466611622,1059345.1068864528,247403.59378220604,0,287691.4193905345
2053,1347232.3981023447,1133064.8451206007,246413.97940707722,0,302830.5921567339
2054,1414215.8516277724,1210294.0813484604,245428.3234894489,0,305636.4373227562
2055,1480485.0209548671,1278520.8207485462,244446.6101954911,0,330946.3098748611
2056,1546691.2399776177,1404055.8762398986,243468.82375470916,0,346729.8789433688
2057,1613057.2612735592,1483143.7883280246,242494.94845969032,0,358134.90892012
2058,1679916.990655616,1584857.851553955,241524.96866585157,0,375317.5538458187
2059,1746124.7983516327,1714837.0245666793,240558.86879118817,0,405775.27027583297
2060,1812576.076170129,1821556.3354176988,239596.63331602342,0,423892.5441225754
2061,1879072.8613116024,1870472.5960577955,238638.24678275932,0,452996.72681825754
2062,1978901.7511917334,1934234.8799277595,237683.6937956283,0,474861.8207825858
2063,2079362.9139034469,2052951.91649945,236732.9590204458,0,497637.4691771441
2064,2180976.0739278747,2193318.615342003,235786.027184364,0,535683.8465046316
2065,2283081.154057015,2343866.396167673,234842.88307562654,0,576822.1587330482
2066,2386476.282744372,2504463.6299172677,233903.51154332404,0,617658.9294426577
2067,2490907.481300426,2641198.374568354,232967.89749715076,0,651338.8835055694
2068,2475466.021458221,2874386.196236478,232036.02590716214,0,709398.0564301237
2069,2475466.021458221,2987806.9716379265,231107.8818035335,0,754151.6522306821
2070,2475466.021458221,3191256.7871122607,230183.45027631937,0,790408.2156989978
