Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10690.452504287741,1992,10773.287913299084,2100.879119659435
2026,69058.95205765913,11407.478412130411,1984.032,11577.055083200506,2163.0137621635317
2027,131500.07934808065,11903.317976714343,1976.0958719999999,12083.822347447054,2285.8217841695337
2028,1000,140552.4294544386,60236.75548047369,12904.061948531851,9452.713525836321
2029,1000,184088.77544053568,78895.1894745153,13875.904820536956,17084.730964543836
2030,1000,231169.13598719524,99072.4868516551,15390.176805952387,24976.5952111495
2031,1000,281319.3538891525,120565.43738106536,15856.13151282521,32713.11558233694
2032,1000,333865.52240617183,143085.22388835935,17062.60200147663,42431.763047413515
2033,1000,390817.6385198311,167493.2736513562,17470.56650456693,52869.73875295062
2034,1000,441413.63080224645,189177.2703438199,18056.043248414353,62686.47971005037
2035,1000,502114.9918352374,215192.13935795892,19418.775807751426,72825.92256317894
2036,1000,556659.7288067971,238568.45520291306,20679.31434579546,82407.39693460494
2037,1000,626315.9511361043,268421.12191547325,21909.932832262315,91994.67788138648
2038,1000,710547.9746009343,304520.56054325757,22931.564072007674,106129.66851262434
2039,70500.78887666957,743790.3478697997,303302.47830108454,25161.294723085382,116044.26936704629
2040,140372.7460371677,779571.6619369931,302089.2683878802,27441.318068168846,121731.64826056208
2041,209957.79486454374,850678.1436485441,300880.91131432867,29278.78905409337,128473.51504804722
2042,279935.1010473746,928395.4338938642,299677.3876690714,30929.58770547606,134489.79326286213
2043,349975.84722078365,1019298.3840268778,298478.6781183951,32207.139031559684,140831.031228748
2044,420737.2933511294,1086786.554308455,297284.7634059215,34492.624712098666,150489.14527557444
2045,492309.62355107703,1199377.4533993802,296095.62435229786,36178.76273012334,164479.65008942064
2046,564439.7046515404,1303714.7197124877,294911.2418548887,38850.816890947266,175777.65734710175
2047,636778.0047813066,1393345.5105649575,293731.5968874691,39458.620814314585,190995.8556716124
2048,709146.4670612908,1509854.3433556627,292556.6704999192,42451.11597923067,200443.32016953544
2049,781629.1413321809,1607633.8761907823,291386.4438179195,45723.94677365528,214460.02265895586
2050,854465.9727593225,1670875.0806314985,290220.89804264787,0,275509.15851766197
2051,905403.3841723843,1750560.6345946107,289060.01445047726,0,283619.9503094396
2052,955972.0699472419,1852542.6112116629,287903.7743926754,0,298183.7464470624
2053,1005598.9555486866,1926354.9622753686,286752.1592951047,0,313933.24046235054
2054,1053616.2698133276,1973222.3632986215,285605.15065792424,0,324402.24367301445
2055,1101336.0411730828,2050070.6083079146,284462.73005529254,0,329266.56048334483
2056,1147535.8580107621,2165132.301429942,283324.87913507136,0,345502.7692045623
2057,1193228.814287436,2299452.0694968184,282191.57961853105,0,362915.07286826853
2058,1237655.669943475,2464043.4882962443,281062.8133000569,0,380620.9224706476
2059,1280362.5251500055,2540987.2443250944,279938.5620468567,0,407767.64749202353
2060,1322052.8135997101,2658284.2967376653,278818.80779866927,0,433310.7586204648
2061,1361938.038201933,2822694.0300429165,277703.5325674746,0,467065.82070550846
2062,1433809.4076581944,2946163.4876107206,276592.71843720466,0,494545.1208945056
2063,1505655.7573357255,3101151.2420357373,275486.34756345587,0,523550.31886311516
2064,1576682.0331588758,3177268.197368521,274384.402173202,0,563233.3774463604
