Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,69311.16618181363,10849.699029715746,1992,10641.26421009562,2052.189155598103
2026,131880.03649710066,9371.3306670911,4016.284571610472,11397.979936095962,2208.6479906246627
2027,200523.91949292057,9788.677883172153,4195.147664216637,11532.484233208073,2313.7451828538806
2028,269824.65749107394,10142.996406357415,4346.998459867464,12663.425718881825,2443.052653461693
2029,1000,243019.25094199897,104151.10754657099,12921.621277570146,9589.337854023968
2030,1000,298524.2354398013,127938.95804562913,13608.410138155665,17178.823411352925
2031,1000,357303.4334736509,153130.04291727894,13970.04129477535,25410.3028146579
2032,1000,414695.34959902737,177726.57839958314,15041.876747801007,33060.684621195134
2033,1000,484091.5453864171,207467.80516560737,15965.986085199373,42868.20912184955
2034,1000,553981.7749134359,237420.76067718683,16392.20084719855,50696.95047706775
2035,1000,622532.3903198972,266799.5958513845,17694.171688456652,60059.5247899421
2036,1000,701759.7180570869,300754.1648816087,19065.79226577467,70413.48454163349
2037,1000,820541.1946689558,299551.14822208224,20365.153917031028,83101.91522539809
2038,1000,929098.4183718271,298352.94362919393,22448.20974914825,96247.94817193634
2039,1000,1035755.3245914861,297159.53185467713,22931.458027635665,113114.32141466493
2040,82706.0112942035,1101438.2556459927,295970.89372725843,24851.232243889,118324.84178141144
2041,165328.49513533356,1169992.1919064834,294787.0101523494,26562.67233685208,125095.82100055013
2042,248330.93865664268,1238554.8055442877,293607.86211174005,29206.998823053083,135009.32728141706
2043,332854.8841885362,1322227.2094632946,292433.4306632931,30963.99980985939,142085.67331524112
2044,417636.4436693505,1436240.3718855416,291263.69694063993,33134.543419009635,150357.9432703008
2045,504204.22809393326,1498176.5193940983,290098.64215287735,35915.06597041974,155443.60400943214
2046,591142.0094809493,1574202.0569433875,288938.24758426583,39464.54679919354,162453.57183354962
2047,679246.2054624979,1697356.0386249744,287782.49459392874,42255.9645054606,172213.95522388615
2048,767656.0963917696,1795414.8614739096,286631.364615553,44965.496894157375,180064.72704801994
2049,857450.7375192664,1931436.0154668936,285484.8391570908,46946.39718430398,193686.77219953912
2050,947923.2525208916,2068928.9501254344,284342.8998004625,0,251696.7518261365
2051,1018405.0093987114,2225706.712613386,283205.5282012606,0,266712.4065155398
2052,1088624.6688873922,2348399.9232758675,282072.70608845557,0,282143.0185315537
2053,1158839.0903169783,2409465.3832939537,280944.41526410176,0,299652.68828862184
2054,1229147.5611112919,2518219.658594285,279820.6376030453,0,318977.5991556198
2055,1299741.3947370644,2730924.2218862087,278701.35505263315,0,332129.1844983932
2056,1370323.2945606916,2921422.2824538387,277586.5496324226,0,360200.3384372514
2057,1440589.1529934837,3097249.570227044,276476.2034338929,0,378654.6765932061
2058,1510402.3777874412,3244100.5037257336,275370.29862015735,0,410274.7931275768
2059,1580023.6554447203,3425558.746559593,274268.81742567674,0,445865.1731934862
2060,1649706.0067732348,3712291.640491633,273171.74215597403,0,464640.150194525
2061,1672398.5083210834,3885444.0590894916,272079.05518735014,0,494575.5077065907
2062,1773999.403954635,4156860.2438331926,270990.73896660074,0,517813.7452248976
2063,1832233.341068735,4532678.598785929,269906.7760107343,0,549452.0228320137
2064,1874762.9434727842,4979498.85502755,268827.1489066914,0,579636.7893730756
