Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10375.56919925236,1992,10724.448013844678,2032.0022909973634
2026,68845.33438518184,9283.38330412844,3978.5928446264743,11132.806896357202,2120.777682618394
2027,129823.9807409316,9756.526818476385,4181.3686364898795,12064.874036747935,2169.3807888126976
2028,191686.61082466188,10242.619399887953,4389.694028523409,12750.041357377497,2436.9241306218187
2029,1000,183327.25739564162,78568.82459813212,13672.530385751003,9612.851633273182
2030,1000,236100.02961259132,101185.72697682485,14999.988598066968,16861.945719033054
2031,1000,287580.50852205564,123248.78936659527,15624.172521054372,24330.89692225937
2032,1000,347173.010686736,148788.43315145827,16529.96475269314,32175.3601466543
2033,1000,414067.51359097025,177457.50582470154,17763.478412332082,40924.423760529695
2034,1000,477308.85746719263,204560.93891451115,18700.876695225816,50811.55995486624
2035,1000,550844.3385573187,236076.1450959937,19902.180458776926,60839.590426441115
2036,1000,623319.9988790463,267137.1423767341,20687.37384121941,71473.39466356995
2037,1000,738409.4208033277,266068.5938072272,21139.531555007343,84767.7133659854
2038,1000,861175.0861755412,265004.3194319983,22647.73674198352,98288.79841365045
2039,1000,1005836.5391163545,263944.3021542703,23425.09750597713,109138.6818174527
2040,79221.35108231699,1055978.778063988,262888.5249456532,24041.51970339021,117661.12855334122
2041,158756.05841805,1136241.9089775865,261836.97084587062,25880.709710411433,120787.57651134147
2042,238690.43387194397,1172778.156054837,260789.62296248713,27148.523196285285,128529.02481967433
2043,319372.5558012766,1265972.098191915,259746.46447063718,29286.796126353656,136483.19814158726
2044,400666.41016513325,1323664.0798206283,258707.47861275464,31312.113164944705,143847.597888178
2045,483391.98833802197,1359820.8904092682,257672.64869830362,33480.23602238128,152096.00543406943
2046,566542.1037450023,1445480.4808361821,256641.9581035104,34706.64406522693,164761.37786315553
2047,650273.0895570014,1580949.0779138652,255615.39027109637,36592.052354818625,176997.23123482507
2048,735353.9831109488,1665320.6788180978,254592.928710012,37905.32507298771,182052.75011956997
2049,820773.8733739079,1716649.858629731,253574.55699517194,38939.1007871119,188837.80422740983
2050,907148.4057551463,1831587.1581701804,252560.25876719126,0,236590.46584436123
2051,972202.2639768547,1944514.308029167,251550.0177321225,0,254889.68743810087
2052,1037407.7061610039,2029359.4812338206,250543.817661194,0,266756.4790430912
2053,1102844.2464205492,2150707.2314787954,249541.64239054924,0,288879.56401009596
2054,1168577.8780951798,2264421.2292934707,248543.47582098705,0,298853.91916841274
2055,1234102.1090742038,2416766.9358260073,247549.3019177031,0,315581.0341697311
2056,1299352.4115016584,2557892.7158390097,246559.1047100323,0,338849.4747262487
2057,1364542.259033901,2752147.2278142776,245572.86829119216,0,359364.50464411965
2058,1430086.3544640385,2935299.642994894,244590.5768180274,0,372143.64553818747
2059,1495133.6701810728,3078765.9052389557,243612.21451075526,0,397341.2685419144
2060,1560310.5284390063,3289575.3015032485,242637.76565271223,0,425033.25186499243
2061,1625784.5760601985,3468338.3587001795,241667.2145901014,0,452587.5659227433
2062,1723679.3658526742,3740262.7090392974,240700.54573174097,0,479978.70334951824
2063,1776497.1031684855,3914449.1844062284,239737.743548814,0,506163.1594832024
2064,1875498.6157549396,4115181.4500575257,238778.79257461874,0,525927.79686176
