Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10513.023376734658,1992,10608.527517039734,2090.152425169556
2026,69827.62047530223,9089.381712901028,3895.4493055290122,11366.563879465475,2280.427770552008
2027,131659.7644725011,9570.489568372175,4101.638386445218,12194.304329176868,2403.0629230490254
2028,1000,140661.83685365517,60283.64436585222,12882.938103287,9487.986085986646
2029,1000,189168.20994575447,81072.08997675191,13714.148485417703,17010.302902359872
2030,1000,241951.65349719318,103693.56578451137,14365.201997815966,24789.800776436285
2031,1000,289407.96891312394,124031.98667705312,15707.988390799374,33087.82229043044
2032,1000,340674.7953651124,146003.48372790532,16595.338405815164,41856.07907960797
2033,1000,406595.4466908439,174255.1914389331,17977.145336488866,52096.77534734115
2034,1000,480285.8674220212,205836.8003237234,19331.888548585852,63221.204025388615
2035,1000,543208.5058976304,232803.64538469873,20842.041697542183,75128.16483208786
2036,1000,610387.415081771,261594.60646361613,21882.385331127847,85725.9341532238
2037,1000,701340.1764978801,260548.22803776167,23395.383437246568,95581.29697718102
2038,1000,818177.0121338058,259506.03512561062,25323.893454035548,107494.83394902467
2039,71998.76901635206,870673.6645635496,258468.01098510818,27560.030203129187,114723.67131422447
2040,143652.51611669583,923042.4293182454,257434.13894116774,30520.406446694185,123275.05757804429
2041,215623.45350147825,989154.5010618194,256404.40238540305,32501.254081227453,131521.571497531
2042,287771.0322212092,999682.2030043522,255378.78477586145,32928.17324415355,140125.80202423653
2043,360622.130557012,1035138.0893789671,254357.269636758,34956.12281346226,145660.36006232418
2044,433444.04969522945,1135206.0430311176,253339.84055821097,36963.51669338821,153733.80428891015
2045,507351.07612581237,1192630.956648302,252326.48119597812,40004.11191338342,162833.61772538282
2046,581253.0506842254,1266435.7827690744,251317.1752711942,42172.80714300636,172961.1015560129
2047,655163.2643364478,1338616.5125502918,250311.90657010942,45301.555480722935,188567.14993890375
2048,728931.9263025183,1434917.2919520247,249310.65894382898,49084.24848560799,192442.73442927774
2049,802867.141545821,1504384.580147776,248313.41630805365,54217.49441101125,200182.8468224036
2050,877493.8101916829,1594322.778076311,247320.16264282144,0,258100.63880393037
2051,931545.2803578245,1711676.1978243657,246330.88199225016,0,271862.5327886826
2052,985595.4620585894,1810196.0272191502,245345.55846428114,0,291945.5952643144
2053,1039095.2580877647,1880857.1872821942,244364.17623042403,0,308921.1395869468
2054,1092063.907061152,2049548.7445013726,243386.71952550233,0,335293.35060366825
2055,1143546.5280834888,2113117.5284607247,242413.17264740032,0,351820.15286209143
2056,1194461.1692074263,2291402.87493225,241443.51995681072,0,366141.2017225841
2057,1244336.732111301,2429248.5062003,240477.74587698348,0,385784.8005380962
2058,1292446.553087594,2558938.1986547355,239515.83489347555,0,409578.9780109451
2059,1339147.9763629495,2690352.563442857,238557.77155390164,0,428581.4945454173
2060,1383386.3623271526,2760411.3608180983,237603.54046768602,0,458518.3908471876
2061,1426258.7947747235,2840207.255787475,236653.12630581527,0,472942.9980649669
2062,1499469.1504295315,3034703.5240730355,235706.51380059202,0,512101.95168812654
2063,1571924.598196638,3061859.061181257,234763.68774538964,0,539148.7204579429
2064,1643042.466378233,3218932.922691178,233824.63299440808,0,560016.6732835224
