Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,8807.193622858558,3774.511552653668,10472.573152492041,2094.4973149712605
2026,69070.77249196972,9303.151941043532,3987.0651175900853,11234.047526399409,2234.8375553196347
2027,130907.64309647214,9532.832825538693,4085.499782373726,11653.079969692955,2339.8816998755105
2028,193164.53358159887,9774.019458154167,4188.865482066071,12028.537722355872,2519.321424899061
2029,1000,183657.08214392883,78710.17806168378,12895.31185349291,9652.437079308052
2030,1000,228514.679181248,97934.86250624915,13725.781824955566,16924.333392490902
2031,1000,276213.98156170885,118377.42066930378,14181.816690506701,24473.52215186232
2032,1000,327157.65514546365,140210.42363377014,14819.68187729077,33672.84200090288
2033,1000,388901.96282245754,166672.26978105324,15169.53106743934,42088.81316489361
2034,1000,440568.80508306896,188815.20217845813,16013.09083141948,53480.65206609307
2035,1000,506486.6846076172,217065.7219746931,16680.006573118495,64386.47624889648
2036,1000,608118.898754439,216197.45908679432,17444.532227589243,75604.54939428947
2037,1000,702611.4138930084,215332.66925044713,18688.649757212926,86677.94280435868
2038,1000,812029.3829291508,214471.33857344533,19556.38566290038,98920.52315119469
2039,1000,907568.0686586939,213613.45321915156,20134.782295322242,109622.64599354882
2040,70401.44463272738,953645.5345963248,212758.99940627496,20990.78209100615,117078.02615059444
2041,140715.18397633114,999702.6811563385,211907.96340864987,22961.8376222262,128627.08506279494
2042,211743.4916180687,1013526.135714868,211060.33155501526,24270.838985448598,136393.90248808565
2043,283025.96141099755,1084052.5816212194,210216.0902287952,25218.851803573205,138053.49775011564
2044,354963.01695174084,1120852.5201769588,209375.22586788,26620.70648814121,151020.9474678154
2045,426476.99650752736,1139694.6740323165,208537.7249644085,29233.888911406368,159743.27449638402
2046,498610.9205482983,1208866.219402294,207703.57406455086,30973.44838961589,166077.3640834486
2047,570894.80582956,1239056.5340952592,206872.75976829266,33197.237054254045,175552.19804528359
2048,642602.8554535628,1330871.687679484,206045.26872921948,36115.66743156255,187476.4583252397
2049,715119.6697602419,1408534.6162244456,205221.0876543026,39203.66368549539,200762.63976002802
2050,788302.7944775735,1479587.4028827804,204400.20330368538,0,260178.97200130206
2051,840133.9318198862,1602142.1830968296,203582.60249047063,0,281196.72889113094
2052,890775.2443596033,1664203.3308428675,202768.27208050876,0,287123.11625303014
2053,940455.2981456418,1742521.258959567,201957.19899218672,0,304601.3189748543
2054,989208.0717086998,1888809.9062447653,201149.37019621796,0,323301.838493329
2055,1035855.2107386214,1971791.848627281,200344.7727154331,0,335673.14507131896
2056,1081061.7376692456,2103203.4618261433,199543.39362457136,0,359865.617365464
2057,1124661.102584465,2223555.611745391,198745.22005007308,0,383324.19527230045
2058,1166525.1535809597,2325104.586197116,197950.2391698728,0,406073.42647146096
2059,1206834.898908746,2495508.7700437666,197158.43821319332,0,430150.14674781234
2060,1245007.2825252232,2663697.8361098995,196369.80446034056,0,459085.1908519495
2061,1281888.378610438,2893581.6009763554,195584.3252424992,0,473511.3610803152
2062,1350338.7534107666,3009990.1224672906,194801.98794152922,0,503659.25950974174
2063,1418267.4343661836,3226097.892450266,194022.7799897631,0,523174.55934840767
2064,1485482.6062467056,3455837.6126916753,193246.68886980406,0,557615.237036546
